参控股名称;股票代码;报告期;持股比例(%)
深圳国海创新投资企业(有限合伙);-;2017-12-31;100.00
国海富兰克林资产管理(上海)有限公司;-;2017-12-31;100.00
深圳国海创新投资管理有限公司;-;2017-12-31;100.00
国海良时资本管理有限公司;-;2017-12-31;100.00
盈禾(上海)国际贸易有限公司;-;2017-12-31;100.00
深圳佰嘉盛资产管理有限公司;-;2017-12-31;100.00
深圳百事通基金管理有限公司;-;2017-12-31;100.00
深圳中融通资产管理有限公司;-;2017-12-31;100.00
深圳众创富资产管理有限公司;-;2017-12-31;100.00
国海创新资本投资管理有限公司;-;2017-12-31;100.00
杭州国海创新投资管理有限公司;-;2017-12-31;100.00
国海富兰克林投资管理(上海)有限公司;-;2017-12-31;100.00
西安国海柏睿投资管理有限公司;-;2017-12-31;100.00
国海良时期货有限公司;-;2017-12-31;83.84
西安国海景恒创业投资有限公司;-;2017-12-31;80.00
国海富兰克林基金管理有限公司;-;2017-12-31;51.00
武汉森泰环保股份有限公司;832774.OC;2018-03-31;1.22
广东太安堂药业股份有限公司;002433.SZ;2018-03-31;1.18
广东劲胜智能集团股份有限公司;300083.SZ;2018-03-31;0.84
南通市通州区恒晟农村小额贷款股份有限公司;831723.OC;2018-03-31;0.69
江苏同益国际物流股份有限公司;832412.OC;2018-05-02;0.48
河钢股份有限公司;000709.SZ;2018-03-31;0.21
