参控股名称;股票代码;报告期;持股比例(%)
国电电力太仆寺旗风电开发有限公司;-;2017-12-31;100.00
国电电力云南新能源开发有限公司;-;2017-12-31;100.00
国电电力广东新能源开发有限公司;-;2017-12-31;100.00
国电电力甘肃新能源开发有限公司;-;2017-12-31;100.00
国电电力朝阳热电有限公司;-;2017-12-31;100.00
国电电力内蒙古新能源开发有限公司;-;2017-12-31;100.00
国电宁波风电开发有限公司;-;2017-12-31;100.00
国电电力青海新能源开发有限公司;-;2017-12-31;100.00
国电电力浙江舟山海上风电开发有限公司;-;2017-12-31;100.00
国电电力新疆新能源开发有限公司;-;2017-12-31;100.00
国电电力湖南新能源开发有限公司;-;2017-12-31;100.00
国电湖州南浔天然气热电有限公司;-;2017-12-31;100.00
国电电力湖南郴州风电开发有限公司;-;2017-12-31;100.00
国电电力民勤新能源有限公司;-;2017-12-31;100.00
国电电力诸城风力发电有限公司;-;2017-12-31;100.00
国电电力邯郸东郊热电有限责任公司;-;2017-12-31;100.00
国电电力瓜州风力发电有限公司;-;2017-12-31;100.00
国电电力哈密景峡风力发电有限公司;-;2017-12-31;100.00
国电江苏谏壁发电有限公司;-;2017-12-31;100.00
黑龙江金湾水利水电开发建设有限公司;-;2017-12-31;100.00
国电电力昆明风电开发有限公司;-;2017-12-31;100.00
国电(北京)国际能源有限公司;-;2017-12-31;100.00
国电和风风电开发有限公司;-;2017-12-31;100.00
国电电力山东新能源开发有限公司;-;2017-12-31;100.00
国电电力山西新能源开发有限公司;-;2017-12-31;100.00
国电电力河北新能源开发有限公司;-;2017-12-31;100.00
国电电力宁夏新能源开发有限公司;-;2017-12-31;100.00
国电江苏电力有限公司;-;2017-12-31;100.00
国电新疆电力有限公司;-;2017-12-31;100.00
国电安徽电力有限公司;-;2017-12-31;100.00
