参控股名称;股票代码;报告期;持股比例(%)
大连大商天然矿泉水有限公司;-;2017-06-30;100.00
大商集团沈阳于洪新玛特购物休闲广场有限公司;-;2017-06-30;100.00
大商集团抚顺物流配送经贸有限公司;-;2017-06-30;100.00
大商集团抚顺光明超市有限公司;-;2017-06-30;100.00
大商集团阜新新玛特购物广场有限公司;-;2017-06-30;100.00
大商集团阜新百货大楼有限公司;-;2017-06-30;100.00
大商集团阜新新玛特西山超市有限公司;-;2017-06-30;100.00
大商集团大庆新玛特购物休闲广场有限公司;-;2017-06-30;100.00
大庆市百大宾馆有限公司;-;2017-06-30;100.00
大庆千盛百货有限公司;-;2017-06-30;100.00
大商集团开封新玛特购物广场有限公司;-;2017-06-30;100.00
大商集团(新乡)大商百货购物广场有限公司;-;2017-06-30;100.00
漯河千盛购物广场有限公司;-;2017-06-30;100.00
漯河新玛特购物广场有限公司;-;2017-06-30;100.00
南阳大商房地产开发有限公司;-;2017-06-30;100.00
麦凯乐(青岛)百货总店有限公司;-;2017-06-30;100.00
淄博中润新玛特有限公司;-;2017-06-30;100.00
淄博润泽百货有限公司;-;2017-06-30;100.00
淄博远方百货有限公司;-;2017-06-30;100.00
东营旭福商贸有限公司;-;2017-06-30;100.00
邹平新玛特购物中心有限公司;-;2017-06-30;100.00
威海凯奥贸易有限公司;-;2017-06-30;100.00
威海展宏贸易有限公司;-;2017-06-30;100.00
威海市威百照相器材有限公司;-;2017-06-30;100.00
威海品云企业管理咨询有限公司;-;2017-06-30;100.00
四川省自贡市大商投资有限公司;-;2017-06-30;100.00
大连大商集团营口房地产开发有限公司;-;2017-06-30;100.00
大商新玛(上海)投资有限公司;-;2017-06-30;100.00
香港新玛有限公司;-;2017-06-30;100.00
大连爱克纳贸易有限公司;-;2015-12-31;100.00
