参控股名称;股票代码;报告期;持股比例(%)
YUTONG LUXEMBOURG S.A.R.L;-;2017-12-31;100.00
YUTONG PANAMA S.A.;-;2017-12-31;100.00
郑州精益达汽车零部件有限公司;-;2017-12-31;100.00
YUTONG MIDDLE EAST FZE;-;2017-12-31;100.00
YUTONG AUSTRALIAPTY LTD;-;2017-12-31;100.00
海口耀兴旅游客运有限公司;-;2017-12-31;100.00
海口金伦运输服务有限公司;-;2017-12-31;100.00
海口耀兴公共汽车有限公司;-;2017-12-31;100.00
海南耀兴集团海口五岳实业有限公司;-;2017-12-31;100.00
郑州同润置业有限公司;-;2017-12-31;100.00
郑州同舟置业有限公司;-;2017-12-31;100.00
哈尔滨绿欣汽车销售有限公司;-;2017-12-31;100.00
广州智蓝汽车销售服务有限公司;-;2017-12-31;100.00
青岛睿通时代汽车销售有限公司;-;2017-12-31;100.00
凯伦宾威房车有限公司;-;2017-12-31;100.00
南通市绿欣汽车服务有限公司;-;2017-12-31;100.00
拉萨宇通顺捷汽车销售有限公司;-;2017-12-31;100.00
上海宇通青普汽车科技服务有限公司;-;2017-12-31;100.00
深圳智蓝汽车销售有限公司;-;2017-12-31;100.00
深圳市智蓝汽车销售有限公司;-;2017-12-31;100.00
山西绿欣睿控汽车销售有限公司;-;2017-12-31;100.00
深圳宇通智联科技有限公司;-;2017-12-31;100.00
香港宇通国际有限公司;-;2017-12-31;100.00
苏州万豪汽车销售服务有限公司;-;2017-12-31;100.00
西藏康瑞盈实投资有限公司;-;2017-12-31;100.00
长春睿腾汽车销售服务有限公司;-;2017-12-31;100.00
郑州通和物业服务有限公司;-;2017-12-31;100.00
重庆绿欣睿控汽车销售服务公司;-;2017-12-31;100.00
张家口睿道汽车销售有限公司;-;2017-12-31;100.00
长沙经济技术开发区三农宇通科技有限公司;-;2017-12-31;100.00
