参控股名称;股票代码;报告期;持股比例(%)
福州中富泰科通信技术有限公司;-;2017-06-30;100.00
武汉中榕泰科通信技术有限公司;-;2017-06-30;100.00
厦门富春信息技术有限公司;-;2017-06-30;100.00
福建省富春慧联信息技术有限公司;-;2017-06-30;100.00
安徽同创通信规划设计院有限公司;-;2017-06-30;100.00
北京通畅电信规划设计院有限公司;-;2017-06-30;100.00
高娱投资(平潭)有限公司;-;2017-06-30;100.00
富瑞信控股有限公司;-;2017-06-30;100.00
上海骏梦网络科技有限公司;-;2017-06-30;100.00
成都摩奇卡卡科技有限责任公司;-;2017-06-30;100.00
武汉鑫四方通信工程有限公司;-;2017-02-17;65.00
厦门中富泰科智能科技有限公司;-;2017-06-30;51.00
北京零次元科技有限公司;-;2017-06-30;40.00
成都海科时代科技有限责任公司;-;2017-06-30;30.00
上海渔阳网络技术有限公司;-;2017-06-30;24.24
福州畅读信息科技有限公司;-;2017-06-30;23.00
广西华南通信股份有限公司;872744.OC;2017-06-30;20.00
深圳微星星科技有限公司;-;2017-06-30;15.00
美载(厦门)网络科技有限公司;-;2017-06-30;15.00
厦门悦讯信息科技股份有限公司;860865.XME;2017-06-30;8.33
北京中联百文文化传媒有限公司;-;2017-06-30;8.00
国信优易数据有限公司;-;2017-06-30;8.00
东阳留白影视文化有限公司;-;2017-06-30;5.18
