参控股名称;股票代码;报告期;持股比例(%)
石家庄常山恒新纺织有限公司;-;2017-12-31;100.00
北明软件有限公司;-;2017-12-31;100.00
新疆常山恒宏纺织科技有限公司;-;2017-12-31;100.00
河北常山恒云数据科技有限公司;-;2017-12-31;100.00
石家庄常山赵州纺织有限公司;-;2017-12-31;100.00
石家庄常山恒荣进出口贸易有限公司;-;2017-12-31;100.00
常山股份香港国际贸易有限公司;-;2017-12-31;100.00
石家庄常山物业服务有限公司;-;2017-12-31;100.00
库尔勒常山恒丰商贸有限责任公司;-;2017-12-31;100.00
山东成功信息技术有限公司;-;2015-12-31;100.00
北京明润华创科技有限责任公司;ZS0082.BJE;2015-12-31;100.00
北京北明伟业科技有限公司;-;2015-12-31;100.00
北京北明正实科技有限公司;-;2015-12-31;100.00
珠海市震星信息技术有限公司;-;2015-12-31;100.00
广州市龙泰信息技术有限公司;-;2015-12-31;100.00
北京天时前程工程技术有限公司;-;2015-12-31;100.00
北京天时前程自动化工程有限公司;-;2015-12-31;100.00
索科维尔(北京)软件系统有限公司;-;2015-12-31;100.00
上海常纺恒友国际贸易有限公司;-;2017-12-31;90.00
舞钢智慧钢城科技发展有限公司;-;2018-02-06;90.00
上海冀源国际贸易有限公司;-;2017-12-31;70.00
武汉网软华信科技有限公司;-;2015-12-31;69.60
北京北明云易信息科技有限公司;-;2015-12-31;65.00
郑州郑热天时自动化工程技术有限公司;-;2015-12-31;49.00
石家庄赛孚纺织有限公司;-;2015-12-31;48.33
北京爱意生活电子商务有限公司;-;2017-12-31;40.00
北京国智云鼎软件有限公司;-;2017-12-31;40.00
石家庄常山明荣家纺有限公司;-;2017-12-31;40.00
北京网新北明科技有限公司;-;2015-12-31;30.00
紫光创新投资有限公司;-;2018-02-10;8.00
