参控股名称;股票代码;报告期;持股比例(%)
徐工重庆工程机械有限公司;-;2017-06-30;100.00
徐州徐工铁路装备有限公司;-;2017-06-30;100.00
徐州徐工投资有限公司;-;2017-06-30;100.00
徐工集团沈阳工程机械有限公司;-;2017-06-30;100.00
徐工营销有限公司;-;2017-06-30;100.00
徐工集团财务有限公司;-;2017-06-30;100.00
福建徐工机械销售有限公司;-;2017-06-30;100.00
徐州徐工传动科技有限公司;-;2017-06-30;100.00
徐州徐工环境技术有限公司;-;2017-06-30;100.00
徐工消防安全装备有限公司;-;2017-06-30;100.00
徐州徐工物资供应有限公司;-;2017-06-30;100.00
徐州重型机械有限公司;-;2017-06-30;100.00
徐州工程机械集团进出口有限公司;-;2017-06-30;100.00
徐州徐工液压件有限公司;-;2017-06-30;100.00
徐州徐工筑路机械有限公司;-;2017-06-30;100.00
徐州徐工基础工程机械有限公司;-;2017-06-30;100.00
徐州徐工随车起重机有限公司;-;2017-06-30;100.00
徐州徐工特种工程机械有限公司;-;2017-06-30;100.00
徐州工程机械上海营销有限公司;-;2017-06-30;90.00
广东徐工鲲鹏工程机械有限公司;-;2017-06-30;90.00
宁夏徐工鲲鹏工程机械有限公司;-;2017-06-30;90.00
江苏徐工信息技术股份有限公司;872437.OC;2017-06-30;60.00
徐州徐工专用车辆有限公司;-;2017-06-30;60.00
徐州派特控制技术有限公司;-;2017-06-30;50.00
徐州赫思曼电子有限公司;-;2017-06-30;50.00
徐州美驰车桥有限公司;-;2017-06-30;40.00
徐州罗特艾德回转支承有限公司;-;2017-06-30;40.00
