参控股名称;股票代码;报告期;持股比例(%)
山东新华奇林软件技术有限公司;-;2017-06-30;100.00
上海新华瑞思医疗科技有限公司;-;2017-06-30;100.00
上海新华泰康生物技术有限公司;-;2017-06-30;100.00
新华泰康投资控股(北京)有限公司;-;2017-06-30;100.00
华佗国际发展有限公司;-;2017-06-30;100.00
淄博新华医院有限公司;-;2017-06-30;100.00
山东省文登整骨烟台医院有限公司;-;2017-06-30;100.00
山东新华医学检验技术有限公司;-;2017-06-30;100.00
山东新华医疗(上海)有限公司;-;2017-06-30;100.00
苏州远跃工程科技有限公司;-;2017-06-30;99.00
长春博迅生物技术有限责任公司;-;2017-06-30;90.00
上海远跃制药机械有限公司;-;2017-06-30;90.00
上海天清生物材料有限公司;-;2017-06-30;89.00
成都英德生物医药装备技术有限公司;-;2015-12-31;87.33
山东新华医用环保设备有限公司;-;2017-06-30;85.00
北京雅致美医疗科技有限公司;-;2015-12-31;81.82
合肥东南手外科医院;-;2017-06-30;75.00
高青县中医医院有限公司;-;2017-06-30;70.00
淄博淄川区医院西院有限公司;-;2017-06-30;70.00
北京威泰科生物技术有限公司;-;2017-06-30;65.00
济南新华医院投资管理有限公司;-;2017-06-30;65.00
新华手术器械有限公司;-;2017-06-30;60.00
淄博众生医药有限公司;-;2017-06-30;60.00
河北新华口腔科技有限公司;-;2017-06-30;60.00
上海盛本包装材料有限公司;-;2017-06-30;60.00
新华医疗健康产业(湖北)有限公司;-;2017-06-30;60.00
山东新华肾病医疗投资有限公司;-;2017-06-30;60.00
上海新华欣诺生物技术有限公司;-;2017-06-30;60.00
淄博众康医药连锁有限公司;-;2017-12-02;60.00
上海方承医疗器械有限公司;-;2015-12-31;58.00
