参控股名称;股票代码;报告期;持股比例(%)
旷达汽车饰件有限公司;-;2017-12-31;100.00
江苏旷达(德国)汽车织物有限责任公司;-;2017-12-31;100.00
香港旷达有限公司;-;2017-12-31;100.00
旷达新能源汽车研发有限公司;-;2017-12-31;100.00
长春旷达汽车内饰件有限公司;-;2017-12-31;100.00
广州旷达汽车饰件有限公司;-;2017-12-31;100.00
天津市旷达汽车内饰件有限公司;-;2017-12-31;100.00
武汉旷达汽车饰件有限公司;-;2017-12-31;100.00
四川旷达汽车内饰件有限公司;-;2017-12-31;100.00
旷达纤维科技有限公司;-;2017-12-31;100.00
常州市旷达机织织物有限公司;-;2017-12-31;100.00
常州市旷达针纺织品有限公司;-;2017-12-31;100.00
柳州旷达汽车饰件有限公司;-;2017-12-31;100.00
佛山市旷达汽车内饰材料有限公司;-;2017-12-31;100.00
旷达新能源投资有限公司;-;2017-12-31;100.00
富蕴国联阳光发电有限公司;-;2017-12-31;100.00
温泉县国盛阳光发电有限公司;-;2017-12-31;100.00
若羌县国信阳光发电有限公司;-;2017-12-31;100.00
常州旷达阳光能源有限公司;-;2017-12-31;100.00
高台县旷达振源新能源开发有限公司;-;2017-12-31;100.00
巴林左旗旷达光伏电力有限公司;-;2017-12-31;100.00
通海旷达光伏发电有限公司;-;2017-12-31;100.00
宣化县旷达光伏发电有限公司;-;2017-12-31;100.00
菏泽隆兴光伏科技有限公司;-;2017-12-31;100.00
新疆旷达国信生态光伏电力有限公司;-;2017-12-31;100.00
陆良旷达光伏电力有限公司;-;2017-12-31;100.00
阿克塞县旷达新能源发电有限公司;-;2017-12-31;100.00
深圳旷达阳光环保材料有限公司;-;2017-12-31;100.00
榆林旷达光伏发电有限公司;-;2017-12-31;100.00
新疆旷达国信能源发展有限公司;-;2017-12-31;100.00
