参控股名称;股票代码;报告期;持股比例(%)
远东电缆有限公司;-;2017-06-30;100.00
新远东电缆有限公司;-;2017-06-30;100.00
远东复合技术有限公司;-;2017-06-30;100.00
远东买卖宝网络科技有限公司;-;2017-06-30;100.00
宜兴远东新能源有限公司;-;2017-06-30;100.00
江苏华东智能线缆检测有限公司;-;2017-06-30;100.00
远东新材料有限公司;-;2017-06-30;100.00
远东材料交易中心有限公司;-;2017-06-30;100.00
天长市远电新能源有限公司;-;2017-06-30;100.00
远东能源服务有限公司;-;2017-06-30;100.00
江西省福斯特新能源集团有限公司;-;2017-06-30;100.00
远东福斯特新能源江苏有限公司;-;2017-06-30;100.00
江西省福能动力电池协同创新有限公司;-;2017-06-30;100.00
株洲市弘强能源有限公司;-;2017-06-30;100.00
东莞福能新能源有限公司;-;2017-06-30;100.00
远东智慧能源投资有限公司;-;2017-06-30;100.00
柯坪远投新能源发电有限公司;-;2017-06-30;90.00
圣达电气有限公司;-;2017-06-30;75.00
北京水木源华电气股份有限公司;ZS0151.BJE;2017-06-30;70.00
上海艾能电力工程有限公司;-;2017-06-30;70.00
安徽电缆股份有限公司;-;2017-06-30;61.45
远东集成科技有限公司;-;2017-06-30;55.00
保定意源达电力设备制造有限公司;-;2017-06-30;51.00
天津中翔腾航科技股份有限公司;870183.OC;2017-12-31;13.00
苏州太谷电力股份有限公司;-;2018-01-09;5.94
