参控股名称;股票代码;报告期;持股比例(%)
杭州杭氧合金封头有限公司;-;2017-12-31;100.00
杭州杭氧化医工程有限公司;-;2017-12-31;100.00
杭州建德杭氧气体有限公司;-;2017-12-31;100.00
湖北杭氧气体有限公司;-;2017-12-31;100.00
吉林杭氧气体有限公司;-;2017-12-31;100.00
承德杭氧气体有限公司;-;2017-12-31;100.00
蚌埠杭氧气体有限公司;-;2017-12-31;100.00
吉林市经开杭氧气体有限公司;-;2017-12-31;100.00
衢州杭氧气体有限公司;-;2017-12-31;100.00
杭州萧山杭氧气体有限公司;-;2017-12-31;100.00
贵州杭氧气体有限公司;-;2017-12-31;100.00
广西杭氧气体有限公司;-;2017-12-31;100.00
南京杭氧气体有限公司;-;2017-12-31;100.00
内蒙古杭氧宏裕气体有限公司;-;2017-12-31;100.00
山东杭氧气体有限公司;-;2017-12-31;100.00
驻马店杭氧气体有限公司;-;2017-12-31;100.00
苏州杭氧气体有限公司;-;2017-12-31;100.00
杭州杭氧工程检测技术有限公司;-;2017-12-31;100.00
衢州杭氧特种气体有限公司;-;2017-12-31;100.00
杭氧(香港)有限公司;-;2017-12-31;100.00
杭州杭氧物资有限公司;-;2017-12-31;100.00
九江杭氧气体有限公司;-;2017-12-31;100.00
杭州杭氧透平机械有限公司;-;2017-12-31;100.00
临安杭氧企业管理有限公司;-;2017-12-31;100.00
江西制氧机有限公司;-;2017-12-31;100.00
杭州深冷气体科技有限公司;-;2015-12-31;100.00
蚌埠气体公司;-;2015-12-31;100.00
江西杭氧气体有限公司;-;2015-12-31;100.00
江苏杭氧润华气体有限公司;-;2017-12-31;90.00
杭州富阳杭氧气体有限公司;-;2017-12-31;90.00
