参控股名称;股票代码;报告期;持股比例(%)
深圳市欣威电子有限公司;-;2017-12-31;100.00
香港欣威电子有限公司;-;2017-12-31;100.00
深圳市欣旺达电气技术有限公司;-;2017-12-31;100.00
深圳普瑞赛思检测技术有限公司;-;2017-12-31;100.00
深圳市前海弘盛技术有限公司;-;2017-12-31;100.00
深圳市欣旺达综合能源服务有限公司;-;2017-12-31;100.00
深圳欣旺达智能科技有限公司;-;2017-12-31;100.00
欣旺达惠州新能源有限公司;-;2017-12-31;98.00
东莞锂威能源科技有限公司;-;2017-12-31;51.00
欣旺达融资租赁有限公司;-;2017-12-31;45.00
行之有道汽车服务(深圳)有限公司;-;2017-12-31;25.40
深圳市宝盛自动化设备有限公司;-;2017-12-31;20.00
深圳市云迅通科技股份有限公司;832575.OC;2017-12-31;10.00
深圳市鹏鼎创盈金融信息服务股份有限公司;-;2018-03-10;5.35
欣旺达电动汽车电池有限公司;-;2017-12-31;2.77
