参控股名称;股票代码;报告期;持股比例(%)
网新(香港)国际投资有限公司;-;2017-06-30;114.10
北京晓通智能系统科技有限公司;-;2017-06-30;100.00
浙江网新赛思软件服务有限公司;-;2017-06-30;100.00
浙江网新科技创投有限公司;-;2017-06-30;100.00
浙大网新系统工程有限公司;-;2017-06-30;100.00
浙江网新数字技术有限公司;-;2017-06-30;100.00
浙江浙大网新图灵信息科技有限公司;-;2017-06-30;95.00
浙江浙大网新软件产业集团有限公司;-;2017-06-30;95.00
网新香港国际投资公司;-;2017-06-30;95.00
北京新思软件技术有限公司;-;2017-06-30;80.00
浙江浙大网新国际软件技术服务有限公司;-;2017-06-30;80.00
杭州普吉投资管理有限公司;-;2017-06-30;78.26
浙江汇信科技有限公司;-;2017-06-30;63.00
杭州颐和科技信息系统有限公司;-;2017-06-30;55.00
浙江网新信息科技有限公司;-;2017-06-30;51.00
浙江网新电气技术有限公司;-;2017-06-30;43.00
上海微创软件股份有限公司;-;2017-06-30;23.24
浙江浙大网新置地管理有限公司;-;2017-06-30;20.00
浙江华通云数据科技有限公司;-;2017-06-30;20.00
浙江众合科技股份有限公司;000925.SZ;2018-03-31;10.42
