参控股名称;股票代码;报告期;持股比例(%)
哈尔滨润达康泰生物科技有限公司;-;2017-12-31;100.00
上海惠中医疗科技有限公司;-;2017-12-31;100.00
青岛益信医学科技有限公司;-;2017-12-31;100.00
上海康祥卫生器材有限公司;-;2017-12-31;100.00
上海华臣生物试剂有限公司;-;2017-12-31;100.00
南京润达强瀚医疗科技有限公司;-;2017-12-31;100.00
山东鑫海润邦医疗用品配送有限公司;-;2017-12-31;100.00
润达医疗国际有限公司;-;2017-12-31;100.00
杭州润达金卫诊断技术有限公司;-;2017-12-31;90.00
广东省润达医学诊断技术有限公司;-;2017-12-31;75.00
济南润达生物科技有限公司;-;2017-12-31;70.00
上海秸瑞信息科技有限公司;-;2017-12-31;70.00
上海润妤生物科技有限公司;-;2017-12-31;70.00
北京润诺思医疗科技有限公司;-;2017-12-31;64.87
上海昆涞生物科技有限公司;-;2017-12-31;60.00
北京东南悦达医疗器械有限公司;-;2017-12-31;60.00
长春金泽瑞医学科技有限公司;-;2017-12-31;60.00
苏州润达汇昌生物科技有限公司;-;2017-12-31;51.00
云南润达康泰医疗科技有限公司;-;2017-12-31;51.00
武汉润达尚检医疗科技有限公司;-;2017-12-31;51.00
上海润达榕嘉生物科技有限公司;-;2017-12-31;51.00
上海中科润达精准医学检验有限公司;-;2017-12-31;51.00
武汉优科联盛科贸有限公司;-;2017-12-31;51.00
黑龙江润达泰信生物科技有限公司;-;2017-12-31;51.00
江苏润怡医疗设备有限公司;-;2017-12-31;51.00
国药控股润达医疗器械发展(上海)有限公司;-;2017-12-31;49.00
1077801 B.C.LTD.;-;2017-12-31;48.48
上海润达实业发展有限公司;-;2017-12-31;45.00
杭州怡丹生物技术有限公司;-;2017-12-31;45.00
上海瑞美电脑科技有限公司;-;2017-12-31;45.00
