参控股名称;股票代码;报告期;持股比例(%)
上思皇氏乳业畜牧发展有限公司;-;2017-06-30;100.00
广西皇氏甲天下农业生态开发有限公司;-;2017-06-30;100.00
广西皇氏甲天下奶水牛开发有限公司;-;2017-06-30;100.00
广西柳州皇氏甲天下乳业有限责任公司;-;2017-06-30;100.00
深圳市皇氏甲天下乳业有限公司;-;2017-06-30;100.00
广西皇氏甲天下畜牧有限公司;-;2017-06-30;100.00
广西酷乐创网络科技有限公司;-;2017-06-30;100.00
广西皇氏甲天下食品有限公司;-;2017-06-30;100.00
南宁市馥嘉园林科技有限公司;-;2017-06-30;100.00
皇氏御嘉影视集团有限公司;-;2017-06-30;100.00
皇氏广西贸易有限公司;-;2017-06-30;100.00
浙江完美在线网络科技有限公司;-;2017-06-30;100.00
北京盛世骄阳文化传播有限公司;-;2017-06-30;100.00
西藏皇氏投资管理有限公司;-;2017-06-30;100.00
皇氏集团华南乳品有限公司;-;2017-06-30;100.00
皇氏来宾乳业有限公司;-;2017-06-30;100.00
香港皇氏国际贸易有限公司;-;2017-06-30;100.00
广西皇氏田东生态农业有限公司;-;2017-06-30;100.00
皇氏集团遵义乳业有限公司;-;2017-06-30;80.00
皇氏集团湖南优氏乳业有限公司;-;2015-12-31;70.20
广西新皇传媒有限公司;-;2017-06-30;60.00
广西奶牛抱抱投资有限责任公司;-;2017-06-30;60.00
云南皇氏来思尔乳业有限公司;-;2017-06-30;52.90
四川皇氏甲天下食品有限公司;-;2017-06-30;51.00
广西皇氏创元投资管理有限公司;-;2017-06-30;51.00
北京北广传媒高清电视有限公司;-;2016-03-15;20.00
浙江皇氏金融信息服务有限公司;-;2017-06-30;10.00
中国—东盟信息港股份有限公司;-;2018-04-27;5.00
