参控股名称;股票代码;报告期;持股比例(%)
浙江精锐金属建筑系统有限公司;-;2017-06-30;100.00
广东精工钢结构有限公司;-;2017-06-30;100.00
SINGAPORE JINGGONG STEEL STRUCTURE PTE .LTD.;-;2017-06-30;100.00
安徽长江紧固件有限责任公司;-;2017-06-30;100.00
上海拜特钢结构设计有限公司;-;2017-06-30;100.00
浙江精工重钢结构有限公司;-;2017-06-30;100.00
湖北精工工业建筑系统有限公司;-;2017-06-30;100.00
浙江绿筑集成科技有限公司;-;2017-06-30;100.00
安徽美建钢结构有限公司;-;2017-06-30;100.00
精工(上海)投资管理有限公司;-;2017-06-30;100.00
精工工业建筑系统有限公司;-;2017-06-30;75.00
精工国际钢结构有限公司;-;2017-06-30;75.00
上海精锐金属建筑系统有限公司;-;2017-06-30;75.00
青岛城乡建筑设计院有限公司;-;2017-06-30;51.02
北京城建精工钢结构工程有限公司;-;2017-06-30;49.00
浙江精工能源科技集团有限公司;-;2017-06-30;45.00
香港精工钢结构有限公司;-;2017-06-30;26.32
苏州中节能股权投资中心(有限合伙);-;2017-06-30;23.70
浙江绍兴瑞丰农村商业银行股份有限公司;-;2017-06-30;4.16
