参控股名称;股票代码;报告期;持股比例(%)
杭州营销;-;2017-12-31;100.00
陕西绝味食品营销有限公司;-;2017-12-31;100.00
上海旭味食品销售有限公司;-;2017-12-31;100.00
河南绝味食品销售有限公司;-;2017-12-31;100.00
襄阳富襄开发有限公司;-;2017-12-31;100.00
福州绝味食品有限公司;-;2017-12-31;100.00
广西绝味食品营销有限公司;-;2017-12-31;100.00
南京绝味食品营销有限公司;-;2017-12-31;100.00
包头市绝味食品营销有限公司;-;2017-12-31;100.00
青岛绝味食品营销有限公司;-;2017-12-31;100.00
合肥绝味食品营销有限公司;-;2017-12-31;100.00
北京绝味食品有限公司;-;2017-12-31;100.00
深圳市绝味食品营销有限公司;-;2017-12-31;100.00
吉林绝味食品营销有限公司;-;2017-12-31;100.00
甘肃阿甘食品有限公司;-;2017-12-31;100.00
黑龙江绝味食品销售有限公司;-;2017-12-31;100.00
新疆阿之疆食品有限责任公司;-;2017-12-31;100.00
长沙绝味食品营销有限公司;-;2017-12-31;100.00
重庆阿润食品有限公司;-;2017-12-31;100.00
重庆绝味食品销售有限公司;-;2017-12-31;100.00
天津阿正食品有限公司;-;2017-12-31;100.00
天津天下汇食品有限公司;-;2017-12-31;100.00
西安阿军食品有限公司;-;2017-12-31;100.00
贵州绝味食品营销有限公司;-;2017-12-31;100.00
南昌绝味食品营销有限公司;-;2017-12-31;100.00
上海阿妙食品有限公司;-;2017-12-31;100.00
福清市阿胜食品有限公司;-;2017-12-31;100.00
湛江阿翔食品有限公司;-;2017-12-31;100.00
广西阿高食品有限公司;-;2017-12-31;100.00
沈阳绝味食品销售有限公司;-;2017-12-31;100.00
