参控股名称;股票代码;报告期;持股比例(%)
常州美凯龙国际电脑家电装饰城有限公司;-;2017-12-31;100.00
常州世界家具家居广场有限公司;-;2017-12-31;100.00
南京红星国际家具装饰城有限公司;-;2017-12-31;100.00
上海红星美凯龙全球家居有限公司;-;2017-12-31;100.00
长沙红星美凯龙家居生活广场有限公司;-;2017-12-31;100.00
长沙红星美凯龙国际家居艺术博览中心有限公司;-;2017-12-31;100.00
成都红星美凯龙世博家居生活广场有限责任公司;-;2017-12-31;100.00
杭州红星美凯龙世博家居有限公司;-;2017-12-31;100.00
上海红星美凯龙品牌管理有限公司;-;2017-12-31;100.00
重庆红星美凯龙环球家居生活广场有限责任公司;-;2017-12-31;100.00
重庆红星美凯龙世博家居生活广场有限责任公司;-;2017-12-31;100.00
武汉红星美凯龙世博家居广场发展有限公司;-;2017-12-31;100.00
上海红星美凯龙家居艺术设计博览有限公司;-;2017-12-31;100.00
烟台红星美凯龙家居有限公司;-;2017-12-31;100.00
重庆红星美凯龙博览家居生活广场有限责任公司;-;2017-12-31;100.00
长沙市银红家居有限公司;-;2017-12-31;100.00
天津红星美凯龙家居家饰生活广场有限公司;-;2017-12-31;100.00
盘锦红星美凯龙全球家居生活广场有限公司;-;2017-12-31;100.00
沈阳红星美凯龙家居有限公司;-;2017-12-31;100.00
上海星凯程鹏企业管理有限公司;-;2017-12-31;100.00
上海红星美凯龙商贸有限公司;-;2017-12-31;100.00
哈尔滨红星美凯龙世博家居广场有限公司;-;2017-12-31;100.00
中山红星美凯龙世博家居广场有限公司;-;2017-12-31;100.00
沈阳大东红星美凯龙家具建材市场有限公司;-;2017-12-31;100.00
无锡红星美凯龙家居生活广场有限公司;-;2017-12-31;100.00
武汉红星美凯龙环球家居广场发展有限公司;-;2017-12-31;100.00
北京世纪凯隆商业投资有限公司;-;2017-12-31;100.00
天津红星美凯龙时尚家居广场有限公司;-;2017-12-31;100.00
上海红星欧丽洛雅家居市场经营管理有限公司;-;2017-12-31;100.00
合肥红星美凯龙世博家居广场有限公司;-;2017-12-31;100.00
