参控股名称;股票代码;报告期;持股比例(%)
老百姓大药房(江苏)有限公司;-;2017-12-31;100.00
北京老百姓电子商务有限公司;-;2017-12-31;100.00
老百姓大药房连锁(浙江)有限公司;-;2017-12-31;100.00
老百姓大药房连锁(广西)有限公司;-;2017-12-31;100.00
老百姓大药房连锁(天津)有限公司;-;2017-12-31;100.00
西安龙盛医药有限责任公司;-;2017-12-31;100.00
武功县龙盛医药有限责任公司;-;2017-12-31;100.00
西安常佳医药有限公司;-;2017-12-31;100.00
河南医药超市有限公司;-;2017-12-31;100.00
武汉市南方大药房连锁有限公司;-;2017-12-31;100.00
药圣堂(湖南)制药有限公司;-;2017-12-31;100.00
老百姓大药房郴州有限公司;-;2017-12-31;100.00
老百姓大药房连锁(陕西)有限公司;-;2017-12-31;100.00
老百姓大药房连锁(江西)有限公司;-;2017-12-31;100.00
老百姓大药房连锁河北有限公司;-;2017-12-31;100.00
老百姓大药房连锁(山东)有限公司;-;2017-12-31;100.00
老百姓大药房连锁(上海)有限公司;-;2017-12-31;100.00
老百姓大药房连锁河南有限公司;-;2017-12-31;100.00
丰沃达医药物流(湖南)有限公司;-;2017-12-31;100.00
常州万仁大药房有限公司;-;2017-12-31;100.00
安徽百姓缘大药房连锁有限公司;-;2017-12-31;100.00
常德市民康药号连锁有限责任公司;-;2017-12-31;100.00
老百姓大药房连锁(郴州)有限公司;-;2016-11-24;100.00
老百姓大药房(江西)有限公司;-;2015-12-31;100.00
湖南百杏堂名医馆中医管理有限公司;-;2017-12-31;80.00
老百姓大药房(北京)有限公司;-;2017-12-31;75.50
兰州惠仁堂药业连锁有限责任公司;-;2017-12-31;65.00
扬州市百信缘医药连锁有限公司;-;2017-12-31;65.00
老百姓大药房连锁(湖北)有限公司;-;2017-12-31;61.00
老百姓大药房连锁广东有限公司;-;2017-12-31;59.80
