参控股名称;股票代码;报告期;持股比例(%)
桂林航天电子有限公司;-;2017-12-31;100.00
杭州航天电子技术有限公司;-;2017-12-31;100.00
郑州航天电子技术有限公司;-;2017-12-31;100.00
重庆航天火箭电子技术有限公司;-;2017-12-31;100.00
北京时代民芯科技有限公司;-;2017-12-31;100.00
北京航天时代激光导航技术有限责任公司;-;2017-12-31;100.00
北京市普利门电子科技有限公司;-;2017-12-31;100.00
北京航天光华电子技术有限公司;-;2017-12-31;100.00
南京航天猎鹰飞行器技术有限公司;-;2017-12-31;100.00
航天电工集团有限公司;202590.WHE;2017-12-31;100.00
北京航天兴华科技有限公司;-;2017-12-31;100.00
陕西航天时代导航设备有限公司;-;2017-12-31;100.00
西安航天时代精密机电有限公司;-;2017-12-31;100.00
北京航天兴达科技有限公司;-;2016-07-20;100.00
北京航天中兴科技有限公司;-;2016-07-20;100.00
航天长征火箭技术有限公司;-;2018-02-02;99.15
北京航天时代惯性仪表科技有限公司;-;2016-07-20;95.23
上海航天电子有限公司;-;2015-12-31;92.04
北京航天飞腾装备技术有限责任公司;-;2017-12-31;75.00
航天时代飞鸿技术有限公司;-;2018-04-28;72.22
航天物联网技术有限公司;-;2017-12-31;60.00
北京航天时代光电科技有限公司;-;2017-12-31;58.73
北京航天金探高技术有限公司;-;2015-12-31;50.00
南瑞航天(北京)电气控制有限公司;-;2017-12-31;35.00
浙江航天神舟电控技术有限公司;-;2017-12-31;34.00
上海宇芯科技有限公司;-;2017-12-31;25.00
