参控股名称;股票代码;报告期;持股比例(%)
江苏金一文化发展有限公司;-;2017-06-30;100.00
江苏金一黄金珠宝有限公司;-;2017-06-30;100.00
深圳金一投资发展有限公司;-;2017-06-30;100.00
浙江越王珠宝有限公司;-;2017-06-30;100.00
北京金一梧州珠宝有限公司;-;2018-04-03;100.00
深圳市捷夫珠宝有限公司;-;2017-10-23;100.00
臻宝通(深圳)互联网科技有限公司;-;2017-10-23;99.06
上海金一黄金珠宝有限公司;-;2017-06-30;70.20
上海金一云金网络服务有限公司;-;2017-06-30;70.00
深圳金一文化发展有限公司;-;2017-06-30;60.00
深圳市卡尼小额贷款有限公司;-;2017-06-30;60.00
北京金一安阳珠宝有限公司;-;2018-03-20;60.00
北京金一共享珠宝科技有限公司;-;2018-03-20;60.00
江苏金一艺术品投资有限公司;-;2017-06-30;51.00
北京金一江苏珠宝有限公司;-;2017-06-30;51.00
广东乐源数字技术有限公司;896098.GZE;2017-06-30;51.00
福建金一文化发展有限公司;-;2017-06-30;51.00
北京金一江苏珠宝有限公司(废弃);-;2018-01-10;51.00
深圳市前海金怡通黄金珠宝供应链有限公司;-;2017-06-30;50.00
深圳市贵天钻石有限公司;-;2017-10-24;49.00
瑞金市西部金一文化创意产业基金(有限合伙);-;2017-06-30;25.00
深圳可戴设备文化发展有限公司;-;2017-04-27;24.51
深圳市金禾黄金珠宝有限公司;-;2018-04-13;19.00
深圳金天九黄金珠宝有限公司;-;2018-04-03;19.00
深圳市珠宝贷互联网金融服务股份有限公司;-;2017-06-10;2.33
