参控股名称;股票代码;报告期;持股比例(%)
浙江美可达摩托车有限公司;-;2017-12-31;100.00
浙江益鹏发动机配件有限公司;-;2017-12-31;100.00
浙江钱江摩托技术开发有限公司;-;2017-12-31;100.00
重庆钱江摩托制造有限公司;-;2017-12-31;100.00
浙江钱江摩托进出口有限公司;-;2017-12-31;100.00
浙江满博投资管理有限公司;-;2017-12-31;80.00
温岭汉诺机电科技有限公司;-;2017-12-31;80.00
BENELLI Q.J.SRL;-;2017-12-31;70.00
浙江钱江新能源科技有限公司;-;2017-12-31;66.67
无锡维赛半导体有限公司;-;2017-12-31;65.00
浙江集成电路技术有限公司;-;2017-12-31;64.00
佛山市钱荣贸易有限公司;-;2017-12-31;51.00
甘肃钱江贝纳利商贸有限公司;-;2017-12-31;51.00
湖南捷弘钱江商贸有限公司;-;2017-12-31;51.00
合肥市钱江摩托销售有限公司;-;2017-12-31;51.00
泉州钱龙贸易有限公司;-;2017-12-31;51.00
南宁君弘轩贸易有限公司;-;2017-12-31;51.00
江西省贝纳利商贸有限公司;-;2017-12-31;51.00
台州钱江摩托销售有限公司;-;2017-12-31;51.00
四川鑫钱江摩托车销售有限公司;-;2017-12-31;51.00
武汉钱江商贸有限公司;-;2017-12-31;51.00
西安钱江摩托销售有限公司;-;2017-12-31;51.00
重庆豪业钱江商贸有限公司;-;2017-12-31;51.00
珠海市钱荣贸易有限公司;-;2017-12-31;51.00
温岭市信合担保有限公司;-;2017-12-31;50.00
浙江瓯联创业投资有限公司;-;2017-12-31;49.00
佛山科力远智能制造有限公司;-;2017-12-31;40.00
浙江钱江机器人有限公司;-;2017-12-31;39.00
格雷博智能动力科技有限公司;-;2017-12-31;28.91
江西艾德纳米科技有限公司;-;2018-03-31;5.21
