参控股名称;股票代码;报告期;持股比例(%)
Kuka Furniture,Inc;-;2017-12-31;100.00
Kuka home GmBH;-;2017-12-31;100.00
顾家家居(宁波)有限公司;-;2017-12-31;100.00
顾家家居(曲水)有限公司;-;2017-12-31;100.00
上海库卡家具销售有限公司;-;2017-12-31;100.00
江苏链居网络科技有限公司;-;2017-12-31;100.00
杭州顾家椅家家居有限公司;-;2017-12-31;100.00
顾家智能家居嘉兴有限公司;-;2017-12-31;100.00
顾家家居河北有限公司;-;2017-12-31;100.00
浙江顾家梅林家居有限公司;-;2017-12-31;100.00
无锡库佳家具销售有限公司;-;2017-12-31;100.00
常州库卡家具销售有限公司;-;2017-12-31;100.00
昆山库卡家具销售有限公司;-;2017-12-31;100.00
合肥库卡家具销售有限公司;-;2017-12-31;100.00
绍兴库卡家具销售有限公司;-;2017-12-31;100.00
香河库卡家具销售有限公司;-;2017-12-31;100.00
浙江顾家家居进出口有限公司;-;2017-12-31;100.00
杭州顾家艺购电子商务有限公司;-;2017-12-31;100.00
宁波库佳家具销售有限公司;-;2017-12-31;100.00
广州库佳家具销售有限公司;-;2017-12-31;100.00
杭州顾家工艺家具销售有限公司;-;2017-12-31;100.00
南京库卡家具销售有限公司;-;2017-12-31;100.00
顾家(香港)贸易有限公司;-;2017-12-31;100.00
郑州库卡家具销售有限公司;-;2017-12-31;100.00
顾家家居(香港)进出口有限公司;-;2017-12-31;100.00
南京艺酷家具销售有限公司;-;2017-12-31;100.00
顾家(香港)国际贸易有限公司;-;2017-12-31;100.00
呼和浩特市库卡家具销售有限公司;-;2017-12-31;90.00
曲水库卡功能家具销售有限公司;-;2017-12-31;85.11
杭州顾家智能家居有限公司;-;2017-12-31;80.00
