参控股名称;股票代码;报告期;持股比例(%)
香溢融通(浙江)投资有限公司;-;2017-12-31;100.00
宁波香溢大酒店有限责任公司;-;2017-12-31;100.00
宁波海曙香溢融通金融服务有限公司;-;2017-12-31;100.00
香溢融通(上海)投资有限公司;-;2015-12-31;100.00
浙江香溢担保有限公司;-;2017-12-31;90.00
浙江香溢租赁有限责任公司;-;2017-12-31;90.00
宁波香溢实业发展有限公司;-;2017-12-31;90.00
上海香溢典当有限公司;-;2017-12-31;90.00
宁波市海曙城隍庙水电安装有限公司;-;2017-12-31;82.67
宁波城隍庙欢乐大世界娱乐有限公司;-;2017-12-31;80.00
浙江香溢金联有限公司;-;2017-12-31;70.00
香溢通联(上海)供应链有限公司;-;2017-12-31;70.00
宁波亚细亚商城有限公司;-;2017-12-31;66.67
宁波国泰金银饰品有限责任公司;-;2017-12-31;51.00
上海东海香溢融通资产管理有限公司;-;2017-12-31;49.00
浙江香溢元泰典当有限责任公司;-;2017-12-31;40.00
浙江香溢德旗典当有限责任公司;-;2017-12-31;29.00
宁波香溢广告策划有限公司;-;2017-12-31;15.00
