参控股名称;股票代码;报告期;持股比例(%)
宁夏鲁西化工化肥有限公司;-;2017-12-31;100.00
山东聊城鲁西化工销售有限公司;-;2017-12-31;100.00
鲁西化工(欧洲)技术研发有限责任公司;-;2017-12-31;100.00
聊城鲁西聚碳酸酯有限公司;-;2017-12-31;100.00
鲁西化工(新加坡)有限公司;-;2017-12-31;100.00
平阴鲁西装备科技有限公司;-;2017-12-31;100.00
山东聊城鲁西化工第五化肥有限公司;-;2017-12-31;100.00
聊城煤武新材料科技有限公司;-;2017-12-31;100.00
聊城鲁化环保科技有限公司;-;2017-12-31;100.00
山东聊城鲁西新材料销售有限公司;-;2017-12-31;100.00
鲁西化工(香港)有限公司;-;2017-12-31;100.00
山东聊城鲁西化工第二化肥有限公司;-;2017-12-31;100.00
聊城鲁西化工农资连锁有限公司;-;2017-12-31;100.00
山东聊城鲁西化工第四化肥有限公司;-;2015-12-31;100.00
聊城煤泗新材料科技有限公司;-;2017-12-31;99.20
聊城煤杉新材料科技有限公司;-;2017-12-31;99.00
山东聊城鲁西硝基复肥有限公司;-;2017-12-31;98.00
鲁西工业装备有限公司;-;2017-12-31;86.67
山东聊城鲁西化工第一化肥有限公司;-;2015-12-31;78.86
聊城盐杉新材料科技有限公司;-;2017-12-31;60.00
山东聊城美益新材料科技有限公司;-;2015-12-31;60.00
山东聊城鲁西化工第六化肥有限公司;-;2017-12-31;51.00
