参控股名称;股票代码;报告期;持股比例(%)
长城宽带网络服务有限公司;-;2017-06-30;100.00
北京电信通电信工程有限公司;-;2017-06-30;100.00
鹏博士智能系统工程有限公司;-;2017-06-30;100.00
上海道丰投资有限公司;-;2017-06-30;100.00
河南省聚信网络信息服务有限公司;-;2017-06-30;100.00
北京易和迅科技有限公司;-;2017-06-30;100.00
沈阳鹏博士网络服务有限公司;-;2017-06-30;100.00
上海长城移动网络服务有限公司;-;2017-06-30;100.00
北京鹏博士智慧教育科技有限公司;-;2017-06-30;100.00
浙江鹏博士网络服务有限公司;-;2017-06-30;100.00
鹏博士投资控股有限公司;-;2017-06-30;100.00
长城移动韩国有限公司;-;2017-06-30;100.00
鹏博士投资控股香港有限公司;-;2017-06-30;100.00
北京鹏博士数据服务有限公司;-;2015-12-31;100.00
北京九鼎大业数据科技有限公司;-;2015-12-31;70.59
北京都伦传媒广告有限公司;-;2017-06-30;40.00
北京吉芙德信息技术有限公司;-;2015-12-31;37.83
北京金信通联信息科技股份有限公司;-;2017-06-30;30.00
深圳市利明泰股权投资基金有限公司;-;2017-06-30;29.63
黑河万源信息技术有限公司;-;2015-12-31;19.03
