参控股名称;股票代码;报告期;持股比例(%)
MEGMEET HONGKONG LIMITED;-;2017-12-31;100.00
西安麦格米特电气有限公司;-;2017-12-31;100.00
浙江思科韦尔科技有限公司;-;2017-12-31;100.00
株洲麦格米特电气有限责任公司;-;2017-12-31;100.00
株洲市微朗科技有限公司;-;2017-12-31;100.00
沃尔吉国际科技发展(深圳)有限公司;-;2017-12-31;55.00
深圳市麦格米特控制技术有限公司;-;2017-12-31;54.00
深圳市麦格米特焊接技术有限公司;-;2017-12-31;53.70
浙江怡和卫浴有限公司;-;2017-12-31;52.00
杭州乾景科技有限公司;-;2017-12-31;51.00
深圳市春晖能源有限公司;-;2017-12-31;51.00
深圳市麦格米特驱动技术有限公司;-;2017-12-31;41.00
唐山惠米智能家居科技有限公司;-;2017-12-31;40.00
湖北东特科技股份有限公司;-;2018-01-23;33.00
东莞市国研电热材料有限公司;-;2017-12-31;29.45
