公司名称;股票代码;营业总收入(万元)
四川蓝光发展股份有限公司;600466.SH;2,455,303.46
三六零安全科技股份有限公司;601360.SH;1,223,811.30
大族激光科技产业集团股份有限公司;002008.SZ;1,156,009.35
中航重机股份有限公司;600765.SH;566,256.54
安泰科技股份有限公司;000969.SZ;465,965.64
华工科技产业股份有限公司;000988.SZ;448,055.28
江苏亚太轻合金科技股份有限公司;002540.SZ;340,748.96
广东银禧科技股份有限公司;300221.SZ;256,345.14
沈阳新松机器人自动化股份有限公司;300024.SZ;245,506.40
常熟风范电力设备股份有限公司;601700.SH;220,693.85
山东新北洋信息技术股份有限公司;002376.SZ;186,043.07
武汉华中数控股份有限公司;300161.SZ;98,519.21
苏州苏大维格光电科技股份有限公司;300331.SZ;94,411.77
南方风机股份有限公司;300004.SZ;87,551.68
广东高乐玩具股份有限公司;002348.SZ;66,115.29
深圳光韵达光电科技股份有限公司;300227.SZ;51,340.81
鞍山森远路桥股份有限公司;300210.SZ;40,664.13
福建海源自动化机械股份有限公司;002529.SZ;27,224.42
武汉金运激光股份有限公司;300220.SZ;18,494.95
