公司名称;股票代码;营业总收入(万元)
天音通信控股股份有限公司;000829.SZ;3,962,772.66
万达电影股份有限公司;002739.SZ;1,322,938.03
江苏凤凰出版传媒股份有限公司;601928.SH;1,105,048.31
中南出版传媒集团股份有限公司;601098.SH;1,036,009.93
苏宁环球股份有限公司;000718.SZ;576,798.10
浙江华策影视股份有限公司;300133.SZ;524,558.97
江苏鹿港文化股份有限公司;601599.SH;411,097.68
华谊兄弟传媒股份有限公司;300027.SZ;394,627.61
奥飞娱乐股份有限公司;002292.SZ;364,246.41
游族网络股份有限公司;002174.SZ;323,567.55
宋城演艺发展股份有限公司;300144.SZ;302,383.12
星辉互动娱乐股份有限公司;300043.SZ;275,548.93
北京华录百纳影视股份有限公司;300291.SZ;224,762.37
北京光线传媒股份有限公司;300251.SZ;184,345.28
杭州顺网科技股份有限公司;300113.SZ;181,580.93
慈文传媒股份有限公司;002343.SZ;166,560.31
上海风语筑展示股份有限公司;603466.SH;149,919.90
北京京西文化旅游股份有限公司;000802.SZ;132,100.15
长城影视股份有限公司;002071.SZ;124,532.43
天舟文化股份有限公司;300148.SZ;93,602.37
美盛文化创意股份有限公司;002699.SZ;91,220.80
当代东方投资股份有限公司;000673.SZ;82,025.41
视觉(中国)文化发展股份有限公司;000681.SZ;81,457.05
骅威文化股份有限公司;002502.SZ;72,695.72
中文在线数字出版集团股份有限公司;300364.SZ;71,677.96
宣亚国际品牌管理(北京)股份有限公司;300612.SZ;50,451.03
东方时代网络传媒股份有限公司;002175.SZ;41,158.23
长城国际动漫游戏股份有限公司;000835.SZ;29,096.80
