公司名称;股票代码;营业总收入(万元)
欧菲科技股份有限公司;002456.SZ;3,379,103.14
歌尔股份有限公司;002241.SZ;2,553,673.06
江苏长电科技股份有限公司;600584.SH;2,385,551.24
浙江盾安人工环境股份有限公司;002011.SZ;827,875.87
天水华天科技股份有限公司;002185.SZ;700,988.71
通富微电子股份有限公司;002156.SZ;651,925.52
华工科技产业股份有限公司;000988.SZ;448,055.28
杭州士兰微电子股份有限公司;600460.SH;274,179.18
贵州航天电器股份有限公司;002025.SZ;261,212.73
浙江水晶光电科技股份有限公司;002273.SZ;214,578.60
苏州固锝电子股份有限公司;002079.SZ;185,459.15
汉威科技集团股份有限公司;300007.SZ;144,417.91
中航电测仪器股份有限公司;300114.SZ;124,098.72
山东共达电声股份有限公司;002655.SZ;78,694.01
苏州晶方半导体科技股份有限公司;603005.SH;62,877.96
武汉长江通信产业集团股份有限公司;600345.SH;25,482.92
