公司名称;股票代码;营业总收入(万元)
欧菲科技股份有限公司;002456.SZ;3,379,103.14
环旭电子股份有限公司;601231.SH;2,970,568.50
歌尔股份有限公司;002241.SZ;2,553,673.06
立讯精密工业股份有限公司;002475.SZ;2,282,609.98
欣旺达电子股份有限公司;300207.SZ;1,404,488.25
深圳市德赛电池科技股份有限公司;000049.SZ;1,248,597.56
芜湖长信科技股份有限公司;300088.SZ;1,088,437.24
深圳市长盈精密技术股份有限公司;300115.SZ;843,160.37
浙江星星科技股份有限公司;300256.SZ;564,697.00
广东汕头超声电子股份有限公司;000823.SZ;433,312.70
深圳莱宝高科技股份有限公司;002106.SZ;398,934.98
深圳市信维通信股份有限公司;300136.SZ;343,476.78
深圳市卓翼科技股份有限公司;002369.SZ;276,324.92
苏州安洁科技股份有限公司;002635.SZ;271,460.08
浙江水晶光电科技股份有限公司;002273.SZ;214,578.60
东莞宜安科技股份有限公司;300328.SZ;81,073.44
山东共达电声股份有限公司;002655.SZ;78,694.01
深圳市宇顺电子股份有限公司;002289.SZ;40,088.47
深圳丹邦科技股份有限公司;002618.SZ;31,715.85
