公司名称;股票代码;营业总收入(万元)
内蒙古伊利实业集团股份有限公司;600887.SH;6,805,817.43
浪潮电子信息产业股份有限公司;000977.SZ;2,548,817.57
光明乳业股份有限公司;600597.SH;2,167,218.52
隆基绿能科技股份有限公司;601012.SH;1,636,228.45
阳光电源股份有限公司;300274.SZ;888,606.01
浙江卫星石化股份有限公司;002648.SZ;818,791.86
福建龙净环保股份有限公司;600388.SH;811,269.20
方正科技集团股份有限公司;600601.SH;509,880.21
浙江菲达环保科技股份有限公司;600526.SH;380,511.79
神雾环保技术股份有限公司;300156.SZ;280,939.35
北京梅泰诺通信技术股份有限公司;300038.SZ;275,132.79
贝因美婴童食品股份有限公司;002570.SZ;266,045.16
皇氏集团股份有限公司;002329.SZ;236,675.39
东港股份有限公司;002117.SZ;142,950.11
江苏江南高纤股份有限公司;600527.SH;142,941.17
厦门三维丝环保股份有限公司;300056.SZ;130,910.35
新疆天润乳业股份有限公司;600419.SH;124,019.72
浙江双箭橡胶股份有限公司;002381.SZ;113,787.53
金陵饭店股份有限公司;601007.SH;93,841.27
上海悦心健康集团股份有限公司;002162.SZ;90,021.97
江苏综艺股份有限公司;600770.SH;75,262.26
中电环保股份有限公司;300172.SZ;68,044.80
康芝药业股份有限公司;300086.SZ;48,083.17
宁波戴维医疗器械股份有限公司;300314.SZ;30,390.54
