公司名称;股票代码;营业总收入(万元)
欧菲科技股份有限公司;002456.SZ;3,379,103.14
歌尔股份有限公司;002241.SZ;2,553,673.06
浙江盾安人工环境股份有限公司;002011.SZ;827,875.87
天水华天科技股份有限公司;002185.SZ;700,988.71
通富微电子股份有限公司;002156.SZ;651,925.52
华工科技产业股份有限公司;000988.SZ;448,055.28
杭州士兰微电子股份有限公司;600460.SH;274,179.18
惠州硕贝德无线科技股份有限公司;300322.SZ;206,764.44
苏州固锝电子股份有限公司;002079.SZ;185,459.15
上海润欣科技股份有限公司;300493.SZ;182,951.01
汉威科技集团股份有限公司;300007.SZ;144,417.91
无锡和晶科技股份有限公司;300279.SZ;142,948.08
中航电测仪器股份有限公司;300114.SZ;124,098.72
武汉高德红外股份有限公司;002414.SZ;101,645.78
苏州晶方半导体科技股份有限公司;603005.SH;62,877.96
汉王科技股份有限公司;002362.SZ;60,438.57
安科瑞电气股份有限公司;300286.SZ;40,537.96
长春奥普光电技术股份有限公司;002338.SZ;36,843.77
重庆梅安森科技股份有限公司;300275.SZ;28,838.92
武汉理工光科股份有限公司;300557.SZ;22,429.10
森霸传感科技股份有限公司;300701.SZ;17,742.69
北京必创科技股份有限公司;300667.SZ;17,327.26
无锡隆盛科技股份有限公司;300680.SZ;15,046.64
江苏东华测试技术股份有限公司;300354.SZ;12,948.86
