公司名称;股票代码;营业总收入(万元)
山西太钢不锈钢股份有限公司;000825.SZ;6,778,978.10
山煤国际能源集团股份有限公司;600546.SH;4,093,701.60
供销大集集团股份有限公司;000564.SZ;2,778,952.67
广东电力发展股份有限公司;000539.SZ;2,664,379.21
河南中孚实业股份有限公司;600595.SH;1,152,200.43
上海紫江企业集团股份有限公司;600210.SH;850,761.05
内蒙古君正能源化工集团股份有限公司;601216.SH;773,950.93
葫芦岛锌业股份有限公司;000751.SZ;669,952.75
河南中原高速公路股份有限公司;600020.SH;584,653.11
澳柯玛股份有限公司;600336.SH;466,196.76
广东德豪润达电气股份有限公司;002005.SZ;420,295.70
深圳市洪涛装饰股份有限公司;002325.SZ;333,087.55
西南证券股份有限公司;600369.SH;306,076.48
内蒙古平庄能源股份有限公司;000780.SZ;280,799.04
东方电子股份有限公司;000682.SZ;270,846.19
天津天药药业股份有限公司;600488.SH;197,171.65
上海益民商业集团股份有限公司;600824.SH;187,657.07
沈阳惠天热电股份有限公司;000692.SZ;176,620.24
天津松江股份有限公司;600225.SH;147,578.45
广西丰林木业集团股份有限公司;601996.SH;130,169.00
新疆赛里木现代农业股份有限公司;600540.SH;110,260.28
辽宁大金重工股份有限公司;002487.SZ;102,106.23
广东广州日报传媒股份有限公司;002181.SZ;89,397.02
宁夏西部创业实业股份有限公司;000557.SZ;65,964.41
上海大智慧股份有限公司;601519.SH;63,823.62
广州御银科技股份有限公司;002177.SZ;56,971.46
贵州长征天成控股股份有限公司;600112.SH;56,497.07
恒立实业发展集团股份有限公司;000622.SZ;5,873.31
