公司名称;股票代码;营业总收入(万元)
绿地控股集团股份有限公司;600606.SH;29,041,822.28
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
天津泰达股份有限公司;000652.SZ;1,902,344.80
吉林亚泰(集团)股份有限公司;600881.SH;1,765,468.29
深圳广田集团股份有限公司;002482.SZ;1,253,522.97
奥瑞金科技股份有限公司;002701.SZ;734,237.59
乐视网信息技术(北京)股份有限公司;300104.SZ;709,607.76
中信国安信息产业股份有限公司;000839.SZ;436,238.97
贵人鸟股份有限公司;603555.SH;325,207.56
探路者控股集团股份有限公司;300005.SZ;303,353.14
星辉互动娱乐股份有限公司;300043.SZ;275,548.93
北京华录百纳影视股份有限公司;300291.SZ;224,762.37
暴风集团股份有限公司;300431.SZ;191,497.37
深圳信隆健康产业发展股份有限公司;002105.SZ;174,564.93
无锡双象超纤材料股份有限公司;002395.SZ;127,344.25
中体产业集团股份有限公司;600158.SH;109,222.73
深圳市奥拓电子股份有限公司;002587.SZ;104,112.40
福建雪人股份有限公司;002639.SZ;93,652.98
武汉当代明诚文化股份有限公司;600136.SH;91,193.60
深圳雷曼光电科技股份有限公司;300162.SZ;64,450.89
深圳市惠程电气股份有限公司;002168.SZ;37,317.27
北京三夫户外用品股份有限公司;002780.SZ;35,139.57
江苏金陵体育器材股份有限公司;300651.SZ;33,572.77
国旅联合股份有限公司;600358.SH;28,751.99
上海力盛赛车文化股份有限公司;002858.SZ;28,230.13
深圳市中航健康时尚集团股份有限公司;835623.OC;27,060.10
北京万国天骐体育股份有限公司;837629.OC;26,619.41
深圳泰山体育科技股份有限公司;837739.OC;22,218.09
北京卡宾滑雪体育发展股份有限公司;838464.OC;17,856.20
