公司名称;股票代码;营业总收入(万元)
南京新街口百货商店股份有限公司;600682.SH;1,796,035.54
江河创建集团股份有限公司;601886.SH;1,529,657.25
健康元药业集团股份有限公司;600380.SH;1,077,925.82
华邦生命健康股份有限公司;002004.SZ;910,890.04
大参林医药集团股份有限公司;603233.SH;742,119.69
美年大健康产业控股股份有限公司;002044.SZ;623,305.08
贵州信邦制药股份有限公司;002390.SZ;600,247.10
爱尔眼科医院集团股份有限公司;300015.SZ;596,284.56
西王食品股份有限公司;000639.SZ;561,834.13
宁波三星医疗电气股份有限公司;601567.SH;536,839.78
迪安诊断技术集团股份有限公司;300244.SZ;500,412.42
乐普(北京)医疗器械股份有限公司;300003.SZ;453,764.27
奥佳华智能健康科技集团股份有限公司;002614.SZ;429,380.87
西安国际医学投资股份有限公司;000516.SZ;405,950.08
江苏鱼跃医疗设备股份有限公司;002223.SZ;354,156.27
浙大网新科技股份有限公司;600797.SH;325,321.06
汤臣倍健股份有限公司;300146.SZ;311,079.54
百洋产业投资集团股份有限公司;002696.SZ;239,412.88
德展大健康股份有限公司;000813.SZ;222,029.48
宜华健康医疗股份有限公司;000150.SZ;211,617.32
深圳市尚荣医疗股份有限公司;002551.SZ;200,647.71
上海荣泰健康科技股份有限公司;603579.SH;191,800.74
蓝帆医疗股份有限公司;002382.SZ;157,594.53
安徽乐金健康科技股份有限公司;300247.SZ;121,758.99
卫宁健康科技集团股份有限公司;300253.SZ;120,375.63
通策医疗投资股份有限公司;600763.SH;117,972.78
创业软件股份有限公司;300451.SZ;115,295.29
思创医惠科技股份有限公司;300078.SZ;111,225.17
珠海和佳医疗设备股份有限公司;300273.SZ;111,181.19
三诺生物传感股份有限公司;300298.SZ;103,300.77
