公司名称;股票代码;营业总收入(万元)
中国船舶重工股份有限公司;601989.SH;3,877,576.97
中航飞机股份有限公司;000768.SZ;3,107,904.69
同方股份有限公司;600100.SH;2,598,938.73
中国船舶重工集团动力股份有限公司;600482.SH;2,314,710.26
中国航发动力股份有限公司;600893.SH;2,255,500.31
中船海洋与防务装备股份有限公司;600685.SH;2,231,338.19
中航沈飞股份有限公司;600760.SH;1,945,927.81
中国船舶工业股份有限公司;600150.SH;1,669,110.14
航天时代电子技术股份有限公司;600879.SH;1,305,428.73
凌云工业股份有限公司;600480.SH;1,184,495.09
航天通信控股集团股份有限公司;600677.SH;1,019,558.56
中航工业机电系统股份有限公司;002013.SZ;923,219.20
骆驼集团股份有限公司;601311.SH;761,798.04
中国东方红卫星股份有限公司;600118.SH;738,523.31
上海航天汽车机电股份有限公司;600151.SH;665,714.61
上海华东电脑股份有限公司;600850.SH;659,781.22
中航光电科技股份有限公司;002179.SZ;636,181.31
横店集团东磁股份有限公司;002056.SZ;601,009.84
华菱星马汽车(集团)股份有限公司;600375.SH;599,104.14
广州杰赛科技股份有限公司;002544.SZ;597,797.07
航天科技控股集团股份有限公司;000901.SZ;580,199.30
科大讯飞股份有限公司;002230.SZ;544,468.81
太极计算机股份有限公司;002368.SZ;529,958.85
上海三爱富新材料股份有限公司;600636.SH;524,337.01
泰豪科技股份有限公司;600590.SH;510,061.82
安徽四创电子股份有限公司;600990.SH;505,684.26
中兵红箭股份有限公司;000519.SZ;477,536.66
贵州久联民爆器材发展股份有限公司;002037.SZ;458,720.57
杭州巨星科技股份有限公司;002444.SZ;428,061.01
中船科技股份有限公司;600072.SH;426,362.86
