公司名称;股票代码;营业总收入(万元)
新希望六和股份有限公司;000876.SZ;6,256,684.86
江西正邦科技股份有限公司;002157.SZ;2,061,492.23
北京顺鑫农业股份有限公司;000860.SZ;1,173,384.32
中粮生物化学(安徽)股份有限公司;000930.SZ;627,591.41
雏鹰农牧集团股份有限公司;002477.SZ;569,820.44
江苏省农垦农业发展股份有限公司;601952.SH;431,551.76
中牧实业股份有限公司;600195.SH;406,972.93
中农发种业集团股份有限公司;600313.SH;386,669.51
中农立华生物科技股份有限公司;603970.SH;350,346.22
獐子岛集团股份有限公司;002069.SZ;320,584.60
袁隆平农业高科技股份有限公司;000998.SZ;319,001.93
深圳市农产品股份有限公司;000061.SZ;244,628.14
克明面业股份有限公司;002661.SZ;226,938.31
甘肃亚盛实业(集团)股份有限公司;600108.SH;206,634.17
新疆冠农果茸集团股份有限公司;600251.SH;160,232.75
湖南正虹科技发展股份有限公司;000702.SZ;134,840.41
烟台中宠食品股份有限公司;002891.SZ;101,535.17
山东登海种业股份有限公司;002041.SZ;80,382.10
山东东方海洋科技股份有限公司;002086.SZ;77,940.73
中水集团远洋股份有限公司;000798.SZ;74,814.47
新疆西部牧业股份有限公司;300106.SZ;69,255.72
朗源股份有限公司;300175.SZ;37,986.50
