公司名称;股票代码;营业总收入(万元)
海南天然橡胶产业集团股份有限公司;601118.SH;1,081,832.27
福建圣农发展股份有限公司;002299.SZ;1,015,879.49
牧原食品股份有限公司;002714.SZ;1,004,241.59
第一拖拉机股份有限公司;601038.SH;735,794.42
雏鹰农牧集团股份有限公司;002477.SZ;569,820.44
河南华英农业发展股份有限公司;002321.SZ;412,192.59
袁隆平农业高科技股份有限公司;000998.SZ;319,001.93
深圳市农产品股份有限公司;000061.SZ;244,628.14
甘肃亚盛实业(集团)股份有限公司;600108.SH;206,634.17
新疆机械研究院股份有限公司;300159.SZ;185,383.18
新疆塔里木农业综合开发股份有限公司;600359.SH;108,470.14
山东登海种业股份有限公司;002041.SZ;80,382.10
新疆西部牧业股份有限公司;300106.SZ;69,255.72
成都泰合健康科技集团股份有限公司;000790.SZ;59,094.89
