公司名称;股票代码;营业总收入(万元)
中兴通讯股份有限公司;000063.SZ;10,881,527.30
苏美达股份有限公司;600710.SH;7,408,571.31
海南航空控股股份有限公司;600221.SH;5,990,394.80
云南云天化股份有限公司;600096.SH;5,597,143.47
万华化学集团股份有限公司;600309.SH;5,312,317.33
无锡小天鹅股份有限公司;000418.SZ;2,138,469.91
浙江大华技术股份有限公司;002236.SZ;1,884,445.81
福耀玻璃工业集团股份有限公司;600660.SH;1,871,560.88
山东南山铝业股份有限公司;600219.SH;1,706,788.08
苏州胜利精密制造科技股份有限公司;002426.SZ;1,591,310.85
天马微电子股份有限公司;000050.SZ;1,401,250.05
三六零安全科技股份有限公司;601360.SH;1,223,811.30
梅花生物科技集团股份有限公司;600873.SH;1,113,216.11
蓝星安迪苏股份有限公司;600299.SH;1,039,782.31
中材科技股份有限公司;002080.SZ;1,026,781.92
大冶特殊钢股份有限公司;000708.SZ;1,022,706.96
中国巨石股份有限公司;600176.SH;865,154.92
上海现代制药股份有限公司;600420.SH;851,775.37
安徽合力股份有限公司;600761.SH;839,052.28
方大炭素新材料科技股份有限公司;600516.SH;835,047.61
深圳华强实业股份有限公司;000062.SZ;829,788.09
深圳市英唐智能控制股份有限公司;300131.SZ;739,987.53
创维数字股份有限公司;000810.SZ;725,480.56
上海家化联合股份有限公司;600315.SH;648,824.62
横店集团东磁股份有限公司;002056.SZ;601,009.84
安琪酵母股份有限公司;600298.SH;577,572.82
宁波博威合金材料股份有限公司;601137.SH;575,780.11
深南电路股份有限公司;002916.SZ;568,693.94
普洛药业股份有限公司;000739.SZ;555,176.31
泰豪科技股份有限公司;600590.SH;510,061.82
