公司名称;股票代码;营业总收入(万元)
中国国际海运集装箱(集团)股份有限公司;000039.SZ;7,629,993.00
中国船舶重工股份有限公司;601989.SH;3,877,576.97
中航飞机股份有限公司;000768.SZ;3,107,904.69
中国航发动力股份有限公司;600893.SH;2,255,500.31
中船海洋与防务装备股份有限公司;600685.SH;2,231,338.19
上海振华重工(集团)股份有限公司;600320.SH;2,185,881.40
江苏国信股份有限公司;002608.SZ;2,020,430.06
中海油田服务股份有限公司;601808.SH;1,743,641.40
中国船舶工业股份有限公司;600150.SH;1,669,110.14
中航直升机股份有限公司;600038.SH;1,204,810.88
海航基础设施投资集团股份有限公司;600515.SH;1,115,707.73
中船科技股份有限公司;600072.SH;426,362.86
中国航发动力控制股份有限公司;000738.SZ;255,346.25
江西洪都航空工业股份有限公司;600316.SH;253,002.47
中国航发航空科技股份有限公司;600391.SH;225,881.39
天海融合防务装备技术股份有限公司;300008.SZ;148,392.89
成都旭光电子股份有限公司;600353.SH;106,169.20
广州中海达卫星导航技术股份有限公司;300177.SZ;102,079.07
江苏亚星锚链股份有限公司;601890.SH;101,914.11
北京海兰信数据科技股份有限公司;300065.SZ;80,514.70
海航创新股份有限公司;600555.SH;3,082.99
