公司名称;股票代码;营业总收入(万元)
江苏凤凰出版传媒股份有限公司;601928.SH;1,105,048.31
长江润发医药股份有限公司;002435.SZ;298,694.76
深圳劲嘉集团股份有限公司;002191.SZ;294,529.35
汕头东风印刷股份有限公司;601515.SH;280,234.71
黄山永新股份有限公司;002014.SZ;200,824.26
上海顺灏新材料科技股份有限公司;002565.SZ;194,860.95
东港股份有限公司;002117.SZ;142,950.11
北京盛通印刷股份有限公司;002599.SZ;140,348.40
上海界龙实业集团股份有限公司;600836.SH;133,413.39
北京京城机电股份有限公司;600860.SH;120,349.70
厦门吉宏包装科技股份有限公司;002803.SZ;113,261.33
天津长荣科技集团股份有限公司;300195.SZ;112,976.56
陕西金叶科教集团股份有限公司;000812.SZ;77,376.52
鸿博股份有限公司;002229.SZ;69,502.22
上海纳尔数码喷印材料股份有限公司;002825.SZ;64,285.32
西安环球印务股份有限公司;002799.SZ;43,821.15
广东新宏泽包装股份有限公司;002836.SZ;26,933.83
天津环球磁卡股份有限公司;600800.SH;14,163.23
