公司名称;股票代码;营业总收入(万元)
中国石油天然气股份有限公司;601857.SH;201,589,000.00
中国铁建股份有限公司;601186.SH;68,098,112.70
中国交通建设股份有限公司;601800.SH;48,280,434.16
宝山钢铁股份有限公司;600019.SH;28,949,779.19
江西铜业股份有限公司;600362.SH;20,504,685.48
上海浦东发展银行股份有限公司;600000.SH;16,861,900.00
厦门国贸集团股份有限公司;600755.SH;16,465,077.79
青岛海尔股份有限公司;600690.SH;15,925,446.69
中信银行股份有限公司;601998.SH;15,670,800.00
中国民生银行股份有限公司;600016.SH;14,428,100.00
平安银行股份有限公司;000001.SZ;10,578,600.00
中国光大银行股份有限公司;601818.SH;9,185,000.00
鞍钢股份有限公司;000898.SZ;8,431,000.00
上海电气集团股份有限公司;601727.SH;7,954,379.40
九州通医药集团股份有限公司;600998.SH;7,394,289.44
广州汽车集团股份有限公司;601238.SH;7,157,493.89
海南航空控股股份有限公司;600221.SH;5,990,394.80
内蒙古包钢钢联股份有限公司;600010.SH;5,368,373.13
浙江浙能电力股份有限公司;600023.SH;5,119,075.49
三一重工股份有限公司;600031.SH;3,833,508.70
瑞茂通供应链管理股份有限公司;600180.SH;3,749,747.51
中国核能电力股份有限公司;601985.SH;3,358,990.89
郑州宇通客车股份有限公司;600066.SH;3,322,194.88
航天信息股份有限公司;600271.SH;2,975,449.12
宁波均胜电子股份有限公司;600699.SH;2,660,560.03
通威股份有限公司;600438.SH;2,608,924.10
广东韶钢松山股份有限公司;000717.SZ;2,603,826.83
江苏亨通光电股份有限公司;600487.SH;2,595,026.90
宁波银行股份有限公司;002142.SZ;2,531,432.00
国泰君安证券股份有限公司;601211.SH;2,380,413.29
