公司名称;股票代码;营业总收入(万元)
珠海格力电器股份有限公司;000651.SZ;15,001,955.16
中兴通讯股份有限公司;000063.SZ;10,881,527.30
云南铜业股份有限公司;000878.SZ;5,732,273.98
三一重工股份有限公司;600031.SH;3,833,508.70
特变电工股份有限公司;600089.SH;3,828,120.17
广东海大集团股份有限公司;002311.SZ;3,255,663.41
金发科技股份有限公司;600143.SH;2,313,737.79
大族激光科技产业集团股份有限公司;002008.SZ;1,156,009.35
福建星网锐捷通讯股份有限公司;002396.SZ;770,513.56
山东高速股份有限公司;600350.SH;737,953.14
广东精艺金属股份有限公司;002295.SZ;545,150.17
广东宏大爆破股份有限公司;002683.SZ;398,508.16
佛山市国星光电股份有限公司;002449.SZ;347,260.24
中山达华智能科技股份有限公司;002512.SZ;345,748.21
深圳日海通讯技术股份有限公司;002313.SZ;298,978.61
深圳诺普信农化股份有限公司;002215.SZ;282,157.52
启明星辰信息技术集团股份有限公司;002439.SZ;227,852.53
新疆冠农果茸集团股份有限公司;600251.SH;160,232.75
杭州中恒电气股份有限公司;002364.SZ;86,610.94
