公司名称;股票代码;营业总收入(万元)
浙江苏泊尔股份有限公司;002032.SZ;1,418,734.74
山东步长制药股份有限公司;603858.SH;1,386,391.87
分众传媒信息技术股份有限公司;002027.SZ;1,201,355.32
浙江南都电源动力股份有限公司;300068.SZ;863,681.26
北京华业资本控股股份有限公司;600240.SH;386,170.95
佛山电器照明股份有限公司;000541.SZ;380,018.83
佳通轮胎股份有限公司;600182.SH;345,776.33
广东依顿电子科技股份有限公司;603328.SH;328,576.44
重庆啤酒股份有限公司;600132.SH;317,551.95
四川双马水泥股份有限公司;000935.SZ;274,796.45
上海剑桥科技股份有限公司;603083.SH;248,654.03
上海万业企业股份有限公司;600641.SH;209,626.19
四川水井坊股份有限公司;600779.SH;204,838.04
珠海中富实业股份有限公司;000659.SZ;161,484.91
东莞捷荣技术股份有限公司;002855.SZ;151,963.83
凯莱英医药集团(天津)股份有限公司;002821.SZ;142,303.34
重庆秦安机电股份有限公司;603758.SH;122,307.34
云南创新新材料股份有限公司;002812.SZ;122,027.00
南京健友生化制药股份有限公司;603707.SH;111,272.60
南京我乐家居股份有限公司;603326.SH;91,501.26
上海菲林格尔木业股份有限公司;603226.SH;79,640.02
清源科技(厦门)股份有限公司;603628.SH;78,264.31
英飞特电子(杭州)股份有限公司;300582.SZ;76,329.06
珠海欧比特宇航科技股份有限公司;300053.SZ;73,885.14
深圳市皇庭国际企业股份有限公司;000056.SZ;70,227.16
山东联诚精密制造股份有限公司;002921.SZ;60,968.90
苏州斯莱克精密设备股份有限公司;300382.SZ;54,857.82
阳光新业地产股份有限公司;000608.SZ;53,442.00
众应互联科技股份有限公司;002464.SZ;50,492.80
博士眼镜连锁股份有限公司;300622.SZ;47,132.19
