公司名称;股票代码;营业总收入(万元)
国电电力发展股份有限公司;600795.SH;5,983,317.78
特变电工股份有限公司;600089.SH;3,828,120.17
通威股份有限公司;600438.SH;2,608,924.10
内蒙古鄂尔多斯资源股份有限公司;600295.SH;2,212,692.52
隆基绿能科技股份有限公司;601012.SH;1,636,228.45
天马微电子股份有限公司;000050.SZ;1,401,250.05
湖北三峡新型建材股份有限公司;600293.SH;1,205,049.22
湖北福星科技股份有限公司;000926.SZ;1,165,851.11
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
阳光电源股份有限公司;300274.SZ;888,606.01
浙江盾安人工环境股份有限公司;002011.SZ;827,875.87
上海航天汽车机电股份有限公司;600151.SH;665,714.61
宁波博威合金材料股份有限公司;601137.SH;575,780.11
孚日集团股份有限公司;002083.SZ;482,167.54
保定天威保变电气股份有限公司;600550.SH;436,797.72
有研新材料股份有限公司;600206.SH;407,962.06
海润光伏科技股份有限公司;600401.SH;325,640.26
河南恒星科技股份有限公司;002132.SZ;304,617.52
北京利尔高温材料股份有限公司;002392.SZ;227,720.07
江苏阳光股份有限公司;600220.SH;215,084.12
乐山电力股份有限公司;600644.SH;205,891.26
河南易成新能源股份有限公司;300080.SZ;182,575.38
浙江向日葵光能科技股份有限公司;300111.SZ;153,002.10
深圳市拓日新能源科技股份有限公司;002218.SZ;151,486.20
浙江精功科技股份有限公司;002006.SZ;95,039.89
四川岷江水利电力股份有限公司;600131.SH;82,158.42
四川川投能源股份有限公司;600674.SH;79,959.90
江苏华盛天龙光电设备股份有限公司;300029.SZ;33,372.06
