公司名称;股票代码;营业总收入(万元)
中航飞机股份有限公司;000768.SZ;3,107,904.69
供销大集集团股份有限公司;000564.SZ;2,778,952.67
中国航发动力股份有限公司;600893.SH;2,255,500.31
陕西省天然气股份有限公司;002267.SZ;764,294.98
天水华天科技股份有限公司;002185.SZ;700,988.71
甘肃祁连山水泥集团股份有限公司;600720.SH;596,896.93
西安国际医学投资股份有限公司;000516.SZ;405,950.08
陕西延长石油化建股份有限公司;600248.SH;389,391.29
秦川机床工具集团股份公司;000837.SZ;299,988.55
兰州长城电工股份有限公司;600192.SH;190,434.90
陕西兴化化学股份有限公司;002109.SZ;189,395.98
陕西航天动力高科技股份有限公司;600343.SH;184,053.48
陕西烽火电子股份有限公司;000561.SZ;121,671.72
西安曲江文化旅游股份有限公司;600706.SH;113,220.67
陕西宝光真空电器股份有限公司;600379.SH;80,488.39
陕西金叶科教集团股份有限公司;000812.SZ;77,376.52
陕西炼石有色资源股份有限公司;000697.SZ;75,273.76
西安旅游股份有限公司;000610.SZ;72,972.82
西安饮食股份有限公司;000721.SZ;49,379.22
彩虹显示器件股份有限公司;600707.SH;45,280.93
