公司名称;股票代码;营业总收入(万元)
特变电工股份有限公司;600089.SH;3,828,120.17
江苏中天科技股份有限公司;600522.SH;2,710,139.57
通威股份有限公司;600438.SH;2,608,924.10
浙江正泰电器股份有限公司;601877.SH;2,341,655.00
江苏中利集团股份有限公司;002309.SZ;1,941,495.78
隆基绿能科技股份有限公司;601012.SH;1,636,228.45
协鑫集成科技股份有限公司;002506.SZ;1,444,707.74
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
天津中环半导体股份有限公司;002129.SZ;964,418.75
阳光电源股份有限公司;300274.SZ;888,606.01
东旭蓝天新能源股份有限公司;000040.SZ;813,102.53
上海航天汽车机电股份有限公司;600151.SH;665,714.61
横店集团东磁股份有限公司;002056.SZ;601,009.84
宁波博威合金材料股份有限公司;601137.SH;575,780.11
中节能太阳能股份有限公司;000591.SZ;520,476.40
江苏爱康科技股份有限公司;002610.SZ;485,649.32
杭州福斯特应用材料股份有限公司;603806.SH;458,491.98
亿晶光电科技股份有限公司;600537.SH;413,761.30
江苏林洋能源股份有限公司;601222.SH;358,819.82
深圳珈伟光伏照明股份有限公司;300317.SZ;343,711.86
海润光伏科技股份有限公司;600401.SH;325,640.26
苏州中来光伏新材股份有限公司;300393.SZ;324,285.28
方大集团股份有限公司;000055.SZ;294,747.08
深圳科士达科技股份有限公司;002518.SZ;272,961.62
厦门科华恒盛股份有限公司;002335.SZ;241,234.47
旷达科技集团股份有限公司;002516.SZ;231,716.93
河南安彩高科股份有限公司;600207.SH;198,392.59
浙江晶盛机电股份有限公司;300316.SZ;194,884.82
北京京运通科技股份有限公司;601908.SH;191,728.67
乐凯胶片股份有限公司;600135.SH;185,131.85
