公司名称;股票代码;营业总收入(万元)
紫光股份有限公司;000938.SZ;3,907,104.09
中国船舶重工集团动力股份有限公司;600482.SH;2,314,710.26
协鑫集成科技股份有限公司;002506.SZ;1,444,707.74
中国南玻集团股份有限公司;000012.SZ;1,087,940.07
阳光电源股份有限公司;300274.SZ;888,606.01
中国宝安集团股份有限公司;000009.SZ;707,080.24
中节能太阳能股份有限公司;000591.SZ;520,476.40
孚日集团股份有限公司;002083.SZ;482,167.54
保定天威保变电气股份有限公司;600550.SH;436,797.72
亿晶光电科技股份有限公司;600537.SH;413,761.30
深圳珈伟光伏照明股份有限公司;300317.SZ;343,711.86
上海耀皮玻璃集团股份有限公司;600819.SH;327,342.72
海润光伏科技股份有限公司;600401.SH;325,640.26
深圳金信诺高新技术股份有限公司;300252.SZ;228,646.70
南风化工集团股份有限公司;000737.SZ;187,265.98
广东榕泰实业股份有限公司;600589.SH;164,337.37
德尔未来科技控股集团股份有限公司;002631.SZ;160,028.78
浙江向日葵光能科技股份有限公司;300111.SZ;153,002.10
深圳市拓日新能源科技股份有限公司;002218.SZ;151,486.20
浙江精功科技股份有限公司;002006.SZ;95,039.89
江苏综艺股份有限公司;600770.SH;75,262.26
江苏华盛天龙光电设备股份有限公司;300029.SZ;33,372.06
哈尔滨高科技(集团)股份有限公司;600095.SH;22,256.63
