公司名称;股票代码;营业总收入(万元)
广东东阳光科技控股股份有限公司;600673.SH;741,190.35
深圳市裕同包装科技股份有限公司;002831.SZ;694,774.07
南京华东电子信息科技股份有限公司;000727.SZ;599,498.89
宁波博威合金材料股份有限公司;601137.SH;575,780.11
南京云海特种金属股份有限公司;002182.SZ;492,686.00
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
深圳市景旺电子股份有限公司;603228.SH;419,201.78
金龙机电股份有限公司;300032.SZ;370,505.25
深圳市奋达科技股份有限公司;002681.SZ;320,986.03
胜宏科技(惠州)股份有限公司;300476.SZ;244,214.47
深圳顺络电子股份有限公司;002138.SZ;198,755.79
河南安彩高科股份有限公司;600207.SH;198,392.59
奥士康科技股份有限公司;002913.SZ;173,636.80
深圳市京泉华科技股份有限公司;002885.SZ;113,991.10
深圳市新亚电子制程股份有限公司;002388.SZ;81,261.08
浙江东尼电子股份有限公司;603595.SH;72,639.81
湖北瀛通通讯线材股份有限公司;002861.SZ;72,168.84
深圳王子新材料股份有限公司;002735.SZ;59,818.69
深圳光韵达光电科技股份有限公司;300227.SZ;51,340.81
深圳市劲拓自动化设备股份有限公司;300400.SZ;47,776.30
江苏广信感光新材料股份有限公司;300537.SZ;44,900.67
广州市昊志机电股份有限公司;300503.SZ;44,566.83
宇环数控机床股份有限公司;002903.SZ;25,025.88
