公司名称;股票代码;营业总收入(万元)
珠海格力电器股份有限公司;000651.SZ;15,001,955.16
中国国际海运集装箱(集团)股份有限公司;000039.SZ;7,629,993.00
招商局蛇口工业区控股股份有限公司;001979.SZ;7,545,468.22
深圳市怡亚通供应链股份有限公司;002183.SZ;6,851,511.65
北京金隅集团股份有限公司;601992.SH;6,367,833.09
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
光明房地产集团股份有限公司;600708.SH;2,081,126.33
天津泰达股份有限公司;000652.SZ;1,902,344.80
新湖中宝股份有限公司;600208.SH;1,749,992.40
中粮地产(集团)股份有限公司;000031.SZ;1,404,235.59
重庆钢铁股份有限公司;601005.SH;1,323,684.00
华远地产股份有限公司;600743.SH;990,378.69
上海外高桥集团股份有限公司;600648.SH;895,356.74
深圳市中洲投资控股股份有限公司;000042.SZ;865,423.38
深圳世联行地产顾问股份有限公司;002285.SZ;821,154.70
东旭蓝天新能源股份有限公司;000040.SZ;813,102.53
中华企业股份有限公司;600675.SH;765,897.03
新华都购物广场股份有限公司;002264.SZ;697,253.88
深圳市天健(集团)股份有限公司;000090.SZ;674,959.36
广东万和新电气股份有限公司;002543.SZ;653,194.84
神州长城股份有限公司;000018.SZ;649,712.50
厦门合兴包装印刷股份有限公司;002228.SZ;632,337.74
浙江新和成股份有限公司;002001.SZ;623,510.82
中航地产股份有限公司;000043.SZ;589,349.40
深圳市得润电子股份有限公司;002055.SZ;585,103.23
中航重机股份有限公司;600765.SH;566,256.54
中航三鑫股份有限公司;002163.SZ;460,393.69
广东宏大爆破股份有限公司;002683.SZ;398,508.16
华联控股股份有限公司;000036.SZ;397,174.70
浙江金洲管道科技股份有限公司;002443.SZ;386,294.77
