公司名称;股票代码;营业总收入(万元)
海航科技股份有限公司;600751.SH;31,546,000.60
中国铝业股份有限公司;601600.SH;18,008,075.00
恒逸石化股份有限公司;000703.SZ;6,428,384.81
神州数码集团股份有限公司;000034.SZ;6,221,595.05
中船海洋与防务装备股份有限公司;600685.SH;2,231,338.19
盛屯矿业集团股份有限公司;600711.SH;2,066,764.51
中国船舶工业股份有限公司;600150.SH;1,669,110.14
云南城投置业股份有限公司;600239.SH;1,439,083.92
中粮地产(集团)股份有限公司;000031.SZ;1,404,235.59
江苏沙钢股份有限公司;002075.SZ;1,241,434.88
芜湖长信科技股份有限公司;300088.SZ;1,088,437.24
现代投资股份有限公司;000900.SZ;1,059,285.84
浙江万丰奥威汽轮股份有限公司;002085.SZ;1,017,722.68
甘肃刚泰控股(集团)股份有限公司;600687.SH;821,752.60
内蒙古霍林河露天煤业股份有限公司;002128.SZ;758,881.92
宁波联合集团股份有限公司;600051.SH;706,877.07
亚夏汽车股份有限公司;002607.SZ;666,437.30
福建实达集团股份有限公司;600734.SH;647,444.55
中粮生物化学(安徽)股份有限公司;000930.SZ;627,591.41
安徽梦舟实业股份有限公司;600255.SH;537,516.87
贵州久联民爆器材发展股份有限公司;002037.SZ;458,720.57
江苏常铝铝业股份有限公司;002160.SZ;406,385.04
浙江航民股份有限公司;600987.SH;349,578.80
内蒙古兰太实业股份有限公司;600328.SH;328,608.82
袁隆平农业高科技股份有限公司;000998.SZ;319,001.93
广东潮宏基实业股份有限公司;002345.SZ;308,618.37
江苏飞力达国际物流股份有限公司;300240.SZ;306,518.70
博天环境集团股份有限公司;603603.SH;304,603.88
北京梅泰诺通信技术股份有限公司;300038.SZ;275,132.79
渤海汽车系统股份有限公司;600960.SH;249,854.71
