公司名称;股票代码;营业总收入(万元)
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
贵州茅台酒股份有限公司;600519.SH;6,106,275.69
河南双汇投资发展股份有限公司;000895.SZ;5,057,832.63
重庆百货大楼股份有限公司;600729.SH;3,291,536.51
宜宾五粮液股份有限公司;000858.SZ;3,018,678.04
中国国旅股份有限公司;601888.SH;2,828,228.67
大商股份有限公司;600694.SH;2,674,351.37
青岛啤酒股份有限公司;600600.SH;2,627,705.17
武汉武商集团股份有限公司;000501.SZ;1,812,209.87
步步高商业连锁股份有限公司;002251.SZ;1,731,064.21
中百控股集团股份有限公司;000759.SZ;1,520,609.35
上海锦江国际酒店发展股份有限公司;600754.SH;1,358,258.36
银座集团股份有限公司;600858.SH;1,300,550.27
泸州老窖股份有限公司;000568.SZ;1,039,486.75
合肥百货大楼集团股份有限公司;000417.SZ;1,038,990.97
北京首旅酒店(集团)股份有限公司;600258.SH;841,665.19
银川新华百货商业集团股份有限公司;600785.SH;743,561.08
湖南友谊阿波罗商业股份有限公司;002277.SZ;728,377.73
广州岭南集团控股股份有限公司;000524.SZ;639,202.56
广州越秀金融控股集团股份有限公司;000987.SZ;532,638.87
烟台张裕葡萄酿酒股份有限公司;000869.SZ;493,254.52
上海新世界股份有限公司;600628.SH;302,249.06
安徽金种子酒业股份有限公司;600199.SH;129,015.43
华天酒店集团股份有限公司;000428.SZ;106,309.44
金陵饭店股份有限公司;601007.SH;93,841.27
酒鬼酒股份有限公司;000799.SZ;87,833.14
西安旅游股份有限公司;000610.SZ;72,972.82
丽江玉龙旅游股份有限公司;002033.SZ;68,720.40
桂林旅游股份有限公司;000978.SZ;55,629.05
张家界旅游集团股份有限公司;000430.SZ;54,964.96
