公司名称;股票代码;营业总收入(万元)
TCL集团股份有限公司;000100.SZ;11,172,744.20
四川长虹电器股份有限公司;600839.SH;7,763,247.67
青岛海信电器股份有限公司;600060.SH;3,300,863.77
康佳集团股份有限公司;000016.SZ;3,122,776.32
同方股份有限公司;600100.SH;2,598,938.73
江苏宏图高科技股份有限公司;600122.SH;1,903,225.91
东方明珠新媒体股份有限公司;600637.SH;1,626,115.95
茂业商业股份有限公司;600828.SH;1,176,054.99
深圳市兆驰股份有限公司;002429.SZ;1,022,867.05
无锡商业大厦大东方股份有限公司;600327.SH;916,757.69
湖南电广传媒股份有限公司;000917.SZ;874,148.22
中信国安信息产业股份有限公司;000839.SZ;436,238.97
云赛智联股份有限公司;600602.SH;420,991.84
四川九洲电器股份有限公司;000801.SZ;316,516.56
大恒新纪元科技股份有限公司;600288.SH;296,625.09
陕西广电网络传媒(集团)股份有限公司;600831.SH;285,331.28
深圳市卓翼科技股份有限公司;002369.SZ;276,324.92
北京歌华有线电视网络股份有限公司;600037.SH;269,818.28
数源科技股份有限公司;000909.SZ;266,395.11
吉视传媒股份有限公司;601929.SH;204,717.78
河南安彩高科股份有限公司;600207.SH;198,392.59
康欣新材料股份有限公司;600076.SH;181,810.60
上海新南洋股份有限公司;600661.SH;172,356.16
江苏银河电子股份有限公司;002519.SZ;162,448.53
深圳市天威视讯股份有限公司;002238.SZ;159,088.83
北京数码视讯科技股份有限公司;300079.SZ;135,015.84
中视传媒股份有限公司;600088.SH;71,806.19
深圳市同洲电子股份有限公司;002052.SZ;67,286.52
上海宽频科技股份有限公司;600608.SH;47,008.63
中国船舶重工集团海洋防务与信息对抗股份有限公司;600764.SH;36,275.04
