公司名称;股票代码;营业总收入(万元)
绿地控股集团股份有限公司;600606.SH;29,041,822.28
万科企业股份有限公司;000002.SZ;24,289,711.03
保利房地产(集团)股份有限公司;600048.SH;14,634,181.61
招商局蛇口工业区控股股份有限公司;001979.SZ;7,545,468.22
华夏幸福基业股份有限公司;600340.SH;5,963,542.03
荣盛房地产发展股份有限公司;002146.SZ;3,870,401.15
金地(集团)股份有限公司;600383.SH;3,766,218.20
北京首都开发股份有限公司;600376.SH;3,667,764.19
阳光城集团股份有限公司;000671.SZ;3,316,313.02
天津广宇发展股份有限公司;000537.SZ;2,164,229.53
光明房地产集团股份有限公司;600708.SH;2,081,126.33
信达地产股份有限公司;600657.SH;1,521,604.89
杭州滨江房产集团股份有限公司;002244.SZ;1,377,370.40
深圳市中洲投资控股股份有限公司;000042.SZ;865,423.38
中华企业股份有限公司;600675.SH;765,897.03
上海实业发展股份有限公司;600748.SH;723,391.69
深圳市天健(集团)股份有限公司;000090.SZ;674,959.36
顺发恒业股份公司;000631.SZ;668,169.52
天津市房地产发展(集团)股份有限公司;600322.SH;634,949.49
广州粤泰集团股份有限公司;600393.SH;560,066.07
美好置业集团股份有限公司;000667.SZ;443,846.87
荣安地产股份有限公司;000517.SZ;426,421.51
中国武夷实业股份有限公司;000797.SZ;417,155.99
宁波富达股份有限公司;600724.SH;415,720.96
天地源股份有限公司;600665.SH;395,470.91
北京万通地产股份有限公司;600246.SH;329,495.73
上海城投控股股份有限公司;600649.SH;321,516.41
光大嘉宝股份有限公司;600622.SH;308,330.66
深圳市振业(集团)股份有限公司;000006.SZ;295,945.02
宋都基业投资股份有限公司;600077.SH;274,928.69
