公司名称;股票代码;营业总收入(万元)
天茂实业集团股份有限公司;000627.SZ;5,340,558.01
浙江交通科技股份有限公司;002061.SZ;2,076,841.14
鲁西化工集团股份有限公司;000830.SZ;1,576,180.03
山东华鲁恒升化工股份有限公司;600426.SH;1,040,807.14
内蒙古远兴能源股份有限公司;000683.SZ;1,030,394.63
新奥生态控股股份有限公司;600803.SH;1,003,563.29
山西兰花科技创业股份有限公司;600123.SH;756,633.02
安通控股股份有限公司;600179.SH;676,062.19
兰州兰石重型装备股份有限公司;603169.SH;298,488.54
宝泰隆新材料股份有限公司;601011.SH;293,525.33
东华工程科技股份有限公司;002140.SZ;290,883.84
柳州化工股份有限公司;600423.SH;183,007.37
贵州圣济堂医药产业股份有限公司;600227.SH;169,686.69
航天长征化学工程股份有限公司;603698.SH;121,607.90
太原化工股份有限公司;600281.SH;87,171.93
四川天一科技股份有限公司;600378.SH;52,685.75
云南云维股份有限公司;600725.SH;48,934.61
广西河池化工股份有限公司;000953.SZ;22,088.16
