公司名称;股票代码;营业总收入(万元)
贵研铂业股份有限公司;600459.SH;1,544,164.38
中材科技股份有限公司;002080.SZ;1,026,781.92
宁波博威合金材料股份有限公司;601137.SH;575,780.11
安泰科技股份有限公司;000969.SZ;465,965.64
河南黄河旋风股份有限公司;600172.SH;316,652.60
中航航空高科技股份有限公司;600862.SH;304,415.24
江苏永鼎股份有限公司;600105.SH;286,920.71
苏州扬子江新型材料股份有限公司;002652.SZ;260,915.14
广东银禧科技股份有限公司;300221.SZ;256,345.14
红宝丽集团股份有限公司;002165.SZ;217,125.19
深圳市新纶科技股份有限公司;002341.SZ;206,442.45
江门市科恒实业股份有限公司;300340.SZ;206,059.97
福建火炬电子科技股份有限公司;603678.SH;188,813.30
河南易成新能源股份有限公司;300080.SZ;182,575.38
江苏德威新材料股份有限公司;300325.SZ;178,744.16
四川东材科技集团股份有限公司;601208.SH;173,407.96
湖北鼎龙控股股份有限公司;300054.SZ;170,024.03
烟台泰和新材料股份有限公司;002254.SZ;155,490.10
郑州华晶金刚石股份有限公司;300064.SZ;153,277.32
苏州中科创新型材料股份有限公司;002290.SZ;143,158.96
厦门三维丝环保股份有限公司;300056.SZ;130,910.35
山东国瓷功能材料股份有限公司;300285.SZ;121,761.97
河北四通新型金属材料股份有限公司;300428.SZ;114,995.88
天津利安隆新材料股份有限公司;300596.SZ;114,240.99
深圳市飞荣达科技股份有限公司;300602.SZ;103,641.03
深圳市同益实业股份有限公司;300538.SZ;101,010.84
江苏九鼎新材料股份有限公司;002201.SZ;99,421.61
威海光威复合材料股份有限公司;300699.SZ;94,936.74
北京高盟新材料股份有限公司;300200.SZ;85,360.84
广东东方锆业科技股份有限公司;002167.SZ;85,175.52
