公司名称;股票代码;营业总收入(万元)
华域汽车系统股份有限公司;600741.SH;14,048,725.05
长城汽车股份有限公司;601633.SH;10,116,948.88
重庆长安汽车股份有限公司;000625.SZ;8,001,220.52
北汽福田汽车股份有限公司;600166.SH;5,171,013.70
宁波均胜电子股份有限公司;600699.SH;2,660,560.03
厦门金龙汽车集团股份有限公司;600686.SH;1,773,608.40
闻泰科技股份有限公司;600745.SH;1,691,623.22
安徽中鼎密封件股份有限公司;000887.SZ;1,177,047.97
大族激光科技产业集团股份有限公司;002008.SZ;1,156,009.35
隆鑫通用动力股份有限公司;603766.SH;1,057,210.27
海马汽车集团股份有限公司;000572.SZ;1,007,913.33
大唐高鸿数据网络技术股份有限公司;000851.SZ;897,573.32
深圳市得润电子股份有限公司;002055.SZ;585,103.23
航天科技控股集团股份有限公司;000901.SZ;580,199.30
江南模塑科技股份有限公司;000700.SZ;434,014.98
杭州巨星科技股份有限公司;002444.SZ;428,061.01
宁波双林汽车部件股份有限公司;300100.SZ;427,917.17
常州星宇车灯股份有限公司;601799.SH;425,541.61
浙江亚太机电股份有限公司;002284.SZ;396,356.07
浙江金固股份有限公司;002488.SZ;301,116.42
江苏保千里视像科技集团股份有限公司;600074.SH;284,581.19
数源科技股份有限公司;000909.SZ;266,395.11
北京千方科技股份有限公司;002373.SZ;250,426.08
浙江万安科技股份有限公司;002590.SZ;227,492.76
北京北斗星通导航技术股份有限公司;002151.SZ;220,426.71
北京四维图新科技股份有限公司;002405.SZ;215,648.78
上海临港控股股份有限公司;600848.SH;207,231.52
天津鑫茂科技股份有限公司;000836.SZ;205,656.57
银江股份有限公司;300020.SZ;194,222.12
兴民智通(集团)股份有限公司;002355.SZ;186,812.84
