公司名称;股票代码;营业总收入(万元)
美的集团股份有限公司;000333.SZ;24,191,889.60
宁波均胜电子股份有限公司;600699.SH;2,660,560.03
上海机电股份有限公司;600835.SH;1,947,114.64
浙江大华技术股份有限公司;002236.SZ;1,884,445.81
大族激光科技产业集团股份有限公司;002008.SZ;1,156,009.35
卧龙电气集团股份有限公司;600580.SH;1,008,603.67
重庆市迪马实业股份有限公司;600565.SH;953,798.76
深圳市长盈精密技术股份有限公司;300115.SZ;843,160.37
浙江盾安人工环境股份有限公司;002011.SZ;827,875.87
华意压缩机股份有限公司;000404.SZ;811,411.04
重庆宗申动力机械股份有限公司;001696.SZ;519,726.90
深圳市汇川技术股份有限公司;300124.SZ;477,729.57
广东东方精工科技股份有限公司;002611.SZ;468,484.54
中信重工机械股份有限公司;601608.SH;462,057.99
杭州巨星科技股份有限公司;002444.SZ;428,061.01
南京熊猫电子股份有限公司;600775.SH;419,192.89
沈阳机床股份有限公司;000410.SZ;418,923.69
山河智能装备股份有限公司;002097.SZ;394,620.30
上海新时达电气股份有限公司;002527.SZ;340,361.22
康力电梯股份有限公司;002367.SZ;327,993.50
秦川机床工具集团股份公司;000837.SZ;299,988.55
华昌达智能装备集团股份有限公司;300278.SZ;296,602.68
江苏保千里视像科技集团股份有限公司;600074.SH;284,581.19
软控股份有限公司;002073.SZ;273,376.40
浙江钱江摩托股份有限公司;000913.SZ;271,580.64
科大智能科技股份有限公司;300222.SZ;255,927.56
天奇自动化工程股份有限公司;002009.SZ;245,833.27
沈阳新松机器人自动化股份有限公司;300024.SZ;245,506.40
天通控股股份有限公司;600330.SH;217,936.10
深圳市英威腾电气股份有限公司;002334.SZ;212,231.10
