公司名称;股票代码;营业总收入(万元)
中国中铁股份有限公司;601390.SH;69,336,650.70
苏宁易购集团股份有限公司;002024.SZ;18,792,776.40
珠海格力电器股份有限公司;000651.SZ;15,001,955.16
TCL集团股份有限公司;000100.SZ;11,172,744.20
青岛海信电器股份有限公司;600060.SH;3,300,863.77
康佳集团股份有限公司;000016.SZ;3,122,776.32
中国国旅股份有限公司;601888.SH;2,828,228.67
青岛啤酒股份有限公司;600600.SH;2,627,705.17
歌尔股份有限公司;002241.SZ;2,553,673.06
北京燕京啤酒股份有限公司;000729.SZ;1,119,558.15
新疆同济堂健康产业股份有限公司;600090.SH;985,534.65
河南瑞贝卡发制品股份有限公司;600439.SH;194,665.07
中体产业集团股份有限公司;600158.SH;109,222.73
中视传媒股份有限公司;600088.SH;71,806.19
兰州黄河企业股份有限公司;000929.SZ;59,611.80
福建省燕京惠泉啤酒股份有限公司;600573.SH;56,902.72
甘肃莫高实业发展股份有限公司;600543.SH;22,553.04
