公司名称;股票代码;营业总收入(万元)
安徽海螺水泥股份有限公司;600585.SH;7,531,081.98
华新水泥股份有限公司;600801.SH;2,088,929.20
吉林亚泰(集团)股份有限公司;600881.SH;1,765,468.29
唐山冀东水泥股份有限公司;000401.SZ;1,528,971.41
江西万年青水泥股份有限公司;000789.SZ;709,381.12
新疆天山水泥股份有限公司;000877.SZ;707,977.66
甘肃祁连山水泥集团股份有限公司;600720.SH;596,896.93
金圆水泥股份有限公司;000546.SZ;507,336.07
河南同力水泥股份有限公司;000885.SZ;472,041.23
甘肃上峰水泥股份有限公司;000672.SZ;458,753.39
广东塔牌集团股份有限公司;002233.SZ;456,408.25
宁夏建材集团股份有限公司;600449.SH;435,534.37
浙江尖峰集团股份有限公司;600668.SH;282,656.72
四川双马水泥股份有限公司;000935.SZ;274,796.45
新疆青松建材化工(集团)股份有限公司;600425.SH;210,112.03
福建水泥股份有限公司;600802.SH;183,434.06
安徽新力金融股份有限公司;600318.SH;63,323.70
四川金顶(集团)股份有限公司;600678.SH;18,496.45
太原狮头水泥股份有限公司;600539.SH;7,701.58
