公司名称;股票代码;营业总收入(万元)
上海汽车集团股份有限公司;600104.SH;87,063,942.70
中国太平洋保险(集团)股份有限公司;601601.SH;31,980,900.00
交通银行股份有限公司;601328.SH;19,601,100.00
上海建工集团股份有限公司;600170.SH;14,208,263.86
上海医药集团股份有限公司;601607.SH;13,084,718.19
中国东方航空股份有限公司;600115.SH;10,172,100.00
中化国际(控股)股份有限公司;600500.SH;6,246,607.46
上海百联集团股份有限公司;600827.SH;4,718,112.14
上海国际港务(集团)股份有限公司;600018.SH;3,742,394.62
上海银行股份有限公司;601229.SH;3,312,499.50
环旭电子股份有限公司;601231.SH;2,970,568.50
上海梅林正广和股份有限公司;600073.SH;2,222,137.41
上海振华重工(集团)股份有限公司;600320.SH;2,185,881.40
光明房地产集团股份有限公司;600708.SH;2,081,126.33
上海机电股份有限公司;600835.SH;1,947,114.64
中国船舶工业股份有限公司;600150.SH;1,669,110.14
中远海运发展股份有限公司;601866.SH;1,634,134.79
东方国际创业股份有限公司;600278.SH;1,583,364.98
上海锦江国际酒店发展股份有限公司;600754.SH;1,358,258.36
上海海立(集团)股份有限公司;600619.SH;1,044,677.54
国投资本股份有限公司;600061.SH;1,033,385.60
中远海运能源运输股份有限公司;600026.SH;975,943.85
上海陆家嘴金融贸易区开发股份有限公司;600663.SH;932,459.38
上海交运集团股份有限公司;600676.SH;931,505.25
上海外高桥集团股份有限公司;600648.SH;895,356.74
港中旅华贸国际物流股份有限公司;603128.SH;871,534.53
上海现代制药股份有限公司;600420.SH;851,775.37
上海国际机场股份有限公司;600009.SH;806,237.90
上海实业发展股份有限公司;600748.SH;723,391.69
欧普照明股份有限公司;603515.SH;695,704.62
