公司名称;股票代码;营业总收入(万元)
新疆中泰化学股份有限公司;002092.SZ;4,105,902.70
亿利洁能股份有限公司;600277.SH;1,574,602.96
宜宾天原集团股份有限公司;002386.SZ;1,528,557.52
湖北宜化化工股份有限公司;000422.SZ;1,195,544.15
沈阳化工股份有限公司;000698.SZ;1,190,816.21
内蒙古君正能源化工集团股份有限公司;601216.SH;773,950.93
上海氯碱化工股份有限公司;600618.SH;722,674.61
新疆天业股份有限公司;600075.SH;497,716.26
山东海化股份有限公司;000822.SZ;481,701.45
航锦科技股份有限公司;000818.SZ;340,092.03
江苏井神盐化股份有限公司;603299.SH;260,013.76
宁夏英力特化工股份有限公司;000635.SZ;196,518.85
四川金路集团股份有限公司;000510.SZ;172,814.87
太原化工股份有限公司;600281.SH;87,171.93
南宁化工股份有限公司;600301.SH;21,415.63
