公司名称;股票代码;营业总收入(万元)
中国神华能源股份有限公司;601088.SH;24,874,600.00
华能国际电力股份有限公司;600011.SH;15,245,944.40
中国中煤能源股份有限公司;601898.SH;8,112,323.20
华电国际电力股份有限公司;600027.SH;7,900,683.60
大唐国际发电股份有限公司;601991.SH;6,460,775.50
国电电力发展股份有限公司;600795.SH;5,983,317.78
中国长江电力股份有限公司;600900.SH;5,014,684.86
国投电力控股股份有限公司;600886.SH;3,164,528.42
山西西山煤电股份有限公司;000983.SZ;2,865,527.37
上海电力股份有限公司;600021.SH;1,884,431.75
内蒙古蒙电华能热电股份有限公司;600863.SH;1,178,256.98
大同煤业股份有限公司;601001.SH;916,290.95
华电能源股份有限公司;600726.SH;908,191.09
内蒙古霍林河露天煤业股份有限公司;002128.SZ;758,881.92
国电长源电力股份有限公司;000966.SZ;546,403.53
山西通宝能源股份有限公司;600780.SH;509,701.83
内蒙古平庄能源股份有限公司;000780.SZ;280,799.04
重庆涪陵电力实业股份有限公司;600452.SH;206,033.23
宁夏英力特化工股份有限公司;000635.SZ;196,518.85
福建闽东电力股份有限公司;000993.SZ;90,140.02
烟台龙源电力技术股份有限公司;300105.SZ;59,595.99
